town,latitude,longitude
溪湖鎮,23.9531937,120.5063008
溪湖鎮,23.951022,120.5060501
溪湖鎮,23.9505658,120.5060149
溪湖鎮,23.9500531,120.5059768
溪湖鎮,23.9486504,120.5057502
溪湖鎮,23.9458514,120.5052209
溪湖鎮,23.9442687,120.50485
溪湖鎮,23.9421743,120.5043143
溪湖鎮,23.9401494,120.5037028
溪湖鎮,23.9390449,120.5033502
溪湖鎮,23.9380068,120.5029893
溪湖鎮,23.9358642,120.5021846
溪湖鎮,23.9328426,120.5009908
溪湖鎮,23.9309839,120.5002183
永靖鄉,23.9289442,120.4994619
永靖鄉,23.9272525,120.4988665
永靖鄉,23.9263576,120.4985741
永靖鄉,23.9254567,120.4983283
田尾鄉,23.9245147,120.4980871
田尾鄉,23.9235773,120.4978924
田尾鄉,23.9225647,120.4977073
田尾鄉,23.9218659,120.4975973
田尾鄉,23.9206081,120.4974672
田尾鄉,23.9187638,120.4973633
田尾鄉,23.9165528,120.497377
田尾鄉,23.9133725,120.4976
田尾鄉,23.910576,120.4978186
田尾鄉,23.9098806,120.4978478
田尾鄉,23.9084161,120.4978514
田尾鄉,23.907023,120.4978467
田尾鄉,23.9056845,120.4978226
田尾鄉,23.9051058,120.4978012
田尾鄉,23.9037841,120.4976483
田尾鄉,23.9030852,120.497549
田尾鄉,23.9020627,120.4973666
田尾鄉,23.9009759,120.4971279
田尾鄉,23.8996517,120.496798
田尾鄉,23.898764,120.4965244
田尾鄉,23.8979033,120.4962589
和美鎮,24.1556723,120.5221984
和美鎮,24.1552734,120.5219155
和美鎮,24.1551168,120.5217962
和美鎮,24.1547154,120.5215171
和美鎮,24.1542296,120.5212074
和美鎮,24.1539886,120.5210759
和美鎮,24.1534428,120.5207742
和美鎮,24.1529607,120.5205529
和美鎮,24.1523928,120.5202888
和美鎮,24.1519119,120.5200983
和美鎮,24.1515045,120.519944
和美鎮,24.150851,120.5197234
和美鎮,24.1499981,120.5195115
和美鎮,24.149664,120.5194432
和美鎮,24.1489591,120.5193238
和美鎮,24.1483987,120.5192406
和美鎮,24.1479016,120.5192026
和美鎮,24.1474062,120.5191763
和美鎮,24.1469375,120.5191581
和美鎮,24.1465432,120.5191321
和美鎮,24.1458177,120.5191783
和美鎮,24.1455241,120.5192024
和美鎮,24.1448307,120.5192881
和美鎮,24.1442318,120.5193875
和美鎮,24.1438549,120.5194655
和美鎮,24.1432459,120.5196188
和美鎮,24.1426763,120.5197711
和美鎮,24.1421538,120.519941
和美鎮,24.1414317,120.520219
