town,latitude,longitude
西區,23.4950861,120.3905992
西區,23.4949118,120.3910837
西區,23.4655032,120.4256583
西區,23.4646523,120.4249274
西區,23.4645126,120.4248107
西區,23.4643716,120.4246951
西區,23.4626562,120.4232256
西區,23.4625365,120.4231269
西區,23.4624318,120.423035
西區,23.4615977,120.4223057
西區,23.4711118,120.421893
西區,23.4713691,120.421825
西區,23.4734323,120.4213141
西區,23.4735586,120.4212752
西區,23.474577,120.4209814
西區,23.4757046,120.4206978
西區,23.4767912,120.4204101
西區,23.4779432,120.4201298
西區,23.478365,120.4200214
西區,23.4786771,120.4199372
西區,23.4789355,120.4198914
西區,23.4791514,120.4198785
西區,23.4794018,120.4198822
西區,23.4795873,120.4199052
西區,23.4797861,120.4199459
西區,23.4801137,120.4200125
西區,23.4803604,120.4200888
西區,23.4805909,120.4201769
西區,23.4808888,120.4203499
西區,23.4816377,120.4208434
西區,23.4817162,120.4208971
西區,23.4749786,120.4387905
西區,23.4749848,120.4388665
西區,23.4749921,120.4389464
東區,23.490129,120.4524592
東區,23.4901011,120.4521592
東區,23.4899965,120.4510288
東區,23.4899045,120.4500384
西區,23.4898054,120.449157
西區,23.4896832,120.4481993
西區,23.4895018,120.4466457
西區,23.4934658,120.3943793
西區,23.4934376,120.3944343
西區,23.493555,120.3944315
西區,23.4936522,120.3942492
西區,23.4947545,120.391327
西區,23.4935492,120.3901968
西區,23.4950264,120.391582
西區,23.4950927,120.3914169
西區,23.4948086,120.3911651
東區,23.4871329,120.4966542
東區,23.4882496,120.4960558
東區,23.4886706,120.4958432
東區,23.4890793,120.4956641
東區,23.4896766,120.4954211
東區,23.4765975,120.5001949
東區,23.4760837,120.5002413
東區,23.4748518,120.5003061
東區,23.4735674,120.5002502
東區,23.4724803,120.5001314
東區,23.4717856,120.5000129
東區,23.4710331,120.4998821
東區,23.4703989,120.4997612
東區,23.469529,120.4994801
西區,23.4613627,120.4365362
西區,23.4612146,120.4348037
西區,23.4611285,120.4337764
西區,23.4611356,120.4334723
西區,23.461171,120.4332108
西區,23.461235,120.4329809
西區,23.4613478,120.4327651
西區,23.4615632,120.432442
西區,23.4624336,120.4313408
西區,23.4624747,120.4312887
西區,23.4626581,120.4310387
西區,23.4633095,120.4301778
西區,23.4633471,120.4301281
西區,23.463427,120.4300444
西區,23.4644154,120.4287581
東區,23.4768377,120.500561
東區,23.4799256,120.4999663
東區,23.4820107,120.4993102
東區,23.4838589,120.4985555
東區,23.4870988,120.4962216
東區,23.4849687,120.4975401
東區,23.4837899,120.4982078
東區,23.4818336,120.4990125
東區,23.4787746,120.4998559
西區,23.4947153,120.3914306
西區,23.495026,120.3917228
西區,23.49641,120.3930446
西區,23.4976535,120.3942692
西區,23.4999754,120.3964099
西區,23.5000895,120.3965472
西區,23.4818689,120.4208392
西區,23.4819694,120.4206597
西區,23.482018,120.4205729
西區,23.4820494,120.4204662
西區,23.4827724,120.4180054
西區,23.4832152,120.4165157
西區,23.4838909,120.4142992
西區,23.4841322,120.4135298
西區,23.4843029,120.4129723
西區,23.4844834,120.4123661
西區,23.4853375,120.4095768
西區,23.4865428,120.4055605
西區,23.4874318,120.4025741
西區,23.4883023,120.3997072
西區,23.4892164,120.3966796
西區,23.4893963,120.3959722
西區,23.489414,120.3958853
西區,23.4895064,120.395381
西區,23.4895583,120.3950261
西區,23.4895878,120.3947207
西區,23.4840154,120.4415903
西區,23.4835751,120.4412355
西區,23.4833035,120.4410024
西區,23.48263,120.4404385
西區,23.4823326,120.4401944
西區,23.4821142,120.4400158
西區,23.4812083,120.4392631
西區,23.4811213,120.4391933
西區,23.4808661,120.4389704
西區,23.4807971,120.4389047
東區,23.4922265,120.4526191
東區,23.492722,120.4525251
東區,23.4932324,120.4524392
東區,23.4936426,120.4523817
東區,23.4958707,120.4520798
東區,23.4959804,120.4520583
東區,23.5059187,120.4471633
東區,23.5056903,120.4471344
東區,23.5055754,120.4471675
東區,23.5047803,120.4473523
東區,23.5046091,120.4474116
東區,23.5041375,120.4475509
東區,23.5036397,120.4477501
東區,23.5034654,120.4478105
東區,23.5033178,120.4479218
東區,23.5023087,120.4485137
東區,23.5017674,120.4488318
東區,23.5011072,120.4492266
東區,23.5008503,120.4493655
東區,23.5006043,120.4495092
東區,23.5001213,120.4498183
東區,23.500034,120.449869
東區,23.5000069,120.4498786
東區,23.4998054,120.4500047
東區,23.4997344,120.4500461
東區,23.4989991,120.4504475
東區,23.4985143,120.4506769
東區,23.4982925,120.4507758
東區,23.4982064,120.4508152
東區,23.4980619,120.4508792
東區,23.4968281,120.451315
東區,23.4962147,120.4515053
東區,23.4959679,120.4515703
東區,23.4958302,120.4515793
東區,23.4901957,120.4532586
東區,23.4908002,120.4531789
西區,23.4839727,120.4416766
西區,23.4842712,120.4419249
東區,23.4961099,120.4836479
東區,23.4961448,120.483565
東區,23.49611,120.4834032
東區,23.4959746,120.4832371
東區,23.4953033,120.4826397
東區,23.4945708,120.4819879
東區,23.4944416,120.4818571
東區,23.4934228,120.480938
東區,23.4929664,120.480431
東區,23.4928674,120.4801045
東區,23.4928193,120.4797767
東區,23.4927892,120.4796108
東區,23.4927794,120.4795657
東區,23.4927483,120.479401
東區,23.492686,120.4790718
東區,23.4926193,120.4787194
東區,23.492611,120.4786607
東區,23.48016,120.5037706
東區,23.4803775,120.5021156
東區,23.4805398,120.501095
東區,23.480605,120.5006927
東區,23.480744,120.500329
東區,23.4810574,120.4997013
東區,23.4815423,120.4987401
東區,23.481701,120.4983699
東區,23.481749,120.4982305
東區,23.4818227,120.4977537
東區,23.4818031,120.4972347
東區,23.4817706,120.496672
東區,23.4817628,120.4963602
東區,23.4817246,120.4950198
