town,latitude,longitude
東石鄉,23.45701,120.188628
東石鄉,23.4567358,120.1900701
中埔鄉,23.3818069,120.5296958
中埔鄉,23.3816369,120.5299231
中埔鄉,23.3814707,120.5301028
中埔鄉,23.3812824,120.5302342
中埔鄉,23.3810767,120.530392
中埔鄉,23.3807617,120.5306137
中埔鄉,23.3807088,120.5307224
中埔鄉,23.3806854,120.5308136
中埔鄉,23.380678,120.5309436
中埔鄉,23.3806952,120.5310643
中埔鄉,23.3807498,120.5311691
大林鎮,23.612998,120.4345533
大林鎮,23.6129146,120.4348352
大林鎮,23.6128815,120.4349242
大林鎮,23.6127881,120.435175
大林鎮,23.6126467,120.4355389
大林鎮,23.6125519,120.4357786
大林鎮,23.6127357,120.4356453
大林鎮,23.6127576,120.4355682
大林鎮,23.6128769,120.4352135
大林鎮,23.6129507,120.434907
六腳鄉,23.5600216,120.300814
六腳鄉,23.559829,120.3007925
六腳鄉,23.5597088,120.3007741
六腳鄉,23.5595129,120.3007303
六腳鄉,23.5626308,120.3013471
六腳鄉,23.5604175,120.3008717
水上鄉,23.4609382,120.4217488
水上鄉,23.4055138,120.3827762
水上鄉,23.4098208,120.3839594
水上鄉,23.4101501,120.3840814
太保市,23.4957638,120.3884785
太保市,23.4958573,120.3880712
太保市,23.4959568,120.3877024
太保市,23.4961193,120.3871002
太保市,23.4962541,120.3865289
太保市,23.496319,120.3861902
太保市,23.4963436,120.3859635
太保市,23.496332,120.3854493
太保市,23.4963148,120.3845978
太保市,23.4963689,120.3842034
太保市,23.4964476,120.3836361
太保市,23.490996,120.3880973
太保市,23.490809,120.3879262
六腳鄉,23.560404,120.3009744
六腳鄉,23.5626259,120.301435
六腳鄉,23.5591638,120.3006553
六腳鄉,23.5588741,120.3006053
六腳鄉,23.5587464,120.3005706
六腳鄉,23.5579273,120.300231
六腳鄉,23.5578249,120.3001886
六腳鄉,23.5599392,120.3008858
六腳鄉,23.5600523,120.300914
六腳鄉,23.5600216,120.300814
六腳鄉,23.5599392,120.3008858
新港鄉,23.559758,120.3303462
新港鄉,23.5583857,120.3301686
新港鄉,23.5580932,120.3301227
