town,latitude,longitude
東區,24.7899337,121.006215
東區,24.7901332,121.0059151
東區,24.7905033,121.0053441
東區,24.7905607,121.0052619
東區,24.7909769,121.0046667
東區,24.7910325,121.0045872
北區,24.81388,120.9675165
北區,24.8138527,120.9674146
北區,24.8138038,120.9673013
北區,24.8137711,120.9672255
北區,24.8134814,120.9667829
北區,24.8129579,120.9659467
北區,24.8127084,120.9655652
北區,24.8119914,120.9644449
東區,24.8161337,120.9934897
東區,24.8160572,120.993268
東區,24.8160483,120.993243
東區,24.8160101,120.9931351
東區,24.8156497,120.9921157
東區,24.8155425,120.9917952
東區,24.8155112,120.9915733
東區,24.8153624,120.9893034
東區,24.8153351,120.9890139
東區,24.8153088,120.9884656
東區,24.8152543,120.9878312
東區,24.8152265,120.9874004
東區,24.8152257,120.987389
東區,24.815099,120.985429
東區,24.7868424,120.9676667
東區,24.7863674,120.9677247
東區,24.7861427,120.96772
東區,24.7855757,120.9676077
東區,24.7854978,120.967597
東區,24.7854016,120.9675742
東區,24.7851021,120.9675541
東區,24.7848581,120.9675234
東區,24.7845849,120.967528
東區,24.7842364,120.9675514
東區,24.7837651,120.9675581
東區,24.7834642,120.9675499
東區,24.8041064,120.975626
東區,24.8041661,120.975408
東區,24.8042158,120.9752823
東區,24.8043611,120.9750314
東區,24.8045152,120.9748646
東區,24.8050375,120.9744462
東區,24.8058239,120.9738172
東區,24.80667,120.9731413
東區,24.8087051,120.9716912
東區,24.8010757,120.9871083
東區,24.8014489,120.9859456
東區,24.801516,120.9857364
東區,24.8017515,120.9850534
東區,24.8018537,120.984714
東區,24.8127082,120.9684935
北區,24.8135065,120.9678262
北區,24.8137744,120.9676022
北區,24.8021538,120.9544907
北區,24.8015628,120.954268
北區,24.8013273,120.9541792
北區,24.801129,120.9541045
東區,24.791019,121.005987
東區,24.7946097,121.0074719
東區,24.796829,121.0082174
東區,24.7980648,121.008583
東區,24.7994612,121.0089277
東區,24.8000366,121.0090324
東區,24.8021745,121.0094261
東區,24.8035696,121.0096326
東區,24.8042295,121.009764
東區,24.7892349,121.0052454
東區,24.7910669,121.0058845
東區,24.7897666,121.005319
北區,24.8272458,120.92767
北區,24.8276197,120.927487
北區,24.8281571,120.9272564
北區,24.8282935,120.9271867
北區,24.8286026,120.927066
北區,24.8289264,120.9269238
北區,24.8292842,120.9268085
北區,24.8296469,120.9267307
北區,24.8297293,120.926718
北區,24.8299392,120.9266857
北區,24.829978,120.9266797
北區,24.8300973,120.926677
北區,24.8302944,120.9266717
北區,24.8304259,120.926669
北區,24.8305427,120.9266744
北區,24.8309763,120.9267094
北區,24.8311744,120.9267452
北區,24.8313874,120.9267935
北區,24.8316161,120.9268573
北區,24.8318994,120.9269663
北區,24.8321637,120.9270726
北區,24.832412,120.9272068
北區,24.8326347,120.927358
北區,24.8327492,120.9274335
北區,24.8331735,120.9277382
北區,24.8333705,120.9278738
北區,24.8336417,120.9280727
北區,24.8337764,120.9281684
北區,24.8340904,120.9283856
北區,24.8344835,120.9286283
北區,24.8347519,120.9287758
北區,24.835355,120.9291071
北區,24.8357907,120.9293539
北區,24.8363432,120.9296516
北區,24.8364674,120.9297133
北區,24.8366958,120.9297879
北區,24.8370788,120.9299214
北區,24.8373808,120.9300287
北區,24.8377063,120.9301435
北區,24.8377536,120.930164
北區,24.8379573,120.930252
北區,24.8381205,120.9303358
北區,24.8382248,120.9304034
北區,24.838496,120.930574
北區,24.8385828,120.9306472
北區,24.8387809,120.9308145
北區,24.8391681,120.9311414
北區,24.8395021,120.9314307
東區,24.7869499,121.0103217
東區,24.7870712,121.0102455
東區,24.7872685,121.0099746
東區,24.8033877,120.978979
東區,24.8033444,120.9789451
東區,24.8033094,120.9788998
東區,24.8032223,120.9787628
東區,24.8031244,120.9786088
東區,24.8030889,120.9785508
東區,24.8027906,120.9780643
東區,24.8026176,120.977782
東區,24.8025278,120.97764
東區,24.802435,120.9774932
東區,24.8020595,120.9768996
東區,24.8019755,120.9767655
東區,24.8018978,120.9766325
北區,24.8171445,120.9642313
北區,24.8170639,120.9643134
北區,24.8155173,120.9658831
北區,24.8149939,120.9664396
北區,24.8146139,120.9667888
北區,24.8144973,120.9668847
北區,24.8139541,120.9673309
北區,24.8138527,120.9674146
香山區,24.7215711,120.9192873
香山區,24.721822,120.9192993
香山區,24.7220597,120.919285
香山區,24.7223277,120.9192689
香山區,24.7224123,120.9192615
香山區,24.7228915,120.9192196
香山區,24.7241361,120.9191072
香山區,24.7242985,120.9190884
香山區,24.7244396,120.9190652
香山區,24.7245951,120.9190277
香山區,24.7247166,120.9189919
香山區,24.7248363,120.9189473
香山區,24.7250473,120.9188612
香山區,24.726865,120.9180851
香山區,24.726937,120.9180544
香山區,24.742611,120.9081228
香山區,24.742678,120.9082777
香山區,24.7598052,120.9583068
香山區,24.7590169,120.9578907
香山區,24.7579905,120.9571973
香山區,24.7576278,120.9570315
香山區,24.7597647,120.958488
香山區,24.7964722,120.9523937
香山區,24.7964885,120.9526519
北區,24.8443673,120.935753
北區,24.8424169,120.9340824
北區,24.8420181,120.9336287
北區,24.8417061,120.9332738
北區,24.841397,120.9329385
北區,24.8410085,120.9325555
北區,24.8402127,120.9318624
北區,24.8396407,120.9313447
北區,24.8423412,120.9342233
北區,24.8431295,120.9349058
北區,24.8439374,120.9355903
東區,24.8230181,120.9965403
東區,24.8213335,120.9960604
東區,24.8198885,120.9956094
東區,24.8197268,120.9955519
東區,24.8196465,120.9957102
東區,24.8198322,120.995764
東區,24.8210914,120.9961164
東區,24.8229868,120.9966643
香山區,24.7543874,120.9561499
香山區,24.7548055,120.9563058
香山區,24.7882331,120.928663
香山區,24.7882669,120.9287488
香山區,24.7884511,120.9292169
香山區,24.7532698,120.9103835
香山區,24.7535367,120.9105657
香山區,24.7538785,120.9107212
香山區,24.7542203,120.9108266
香山區,24.754455,120.9108642
香山區,24.7546259,120.9108668
香山區,24.7550483,120.9108391
香山區,24.757307,120.910665
香山區,24.7574223,120.9106618
香山區,24.7575967,120.9107009
香山區,24.7578185,120.9107823
香山區,24.7592204,120.9114845
東區,24.8009895,120.9870709
東區,24.8006291,120.9882107
東區,24.8006013,120.9882987
東區,24.8005655,120.9884118
東區,24.8004422,120.9888018
香山區,24.7571758,120.9572472
香山區,24.7568885,120.9566168
香山區,24.7552814,120.9535332
香山區,24.7551279,120.9532204
香山區,24.75461,120.9521074
香山區,24.7541474,120.9508836
香山區,24.7538862,120.9501055
香山區,24.7566098,120.9565039
香山區,24.7569375,120.9571887
東區,24.7580698,120.9598897
東區,24.7582376,120.9604527
東區,24.7583709,120.9609931
東區,24.7586029,120.9619755
東區,24.7587558,120.962805
香山區,24.7553804,120.9528543
香山區,24.7551721,120.9529725
香山區,24.7550132,120.9531174
香山區,24.7548562,120.9533314
香山區,24.754777,120.95353
香山區,24.7547088,120.9537583
香山區,24.754666,120.9540023
香山區,24.7545876,120.9546204
香山區,24.7544872,120.955413
香山區,24.7544141,120.9559895
香山區,24.7215768,120.9191882
香山區,24.7214643,120.9191577
香山區,24.7214397,120.9191545
香山區,24.7213021,120.9191081
香山區,24.7211418,120.9190345
香山區,24.7210042,120.9189488
香山區,24.720916,120.918886
香山區,24.7208345,120.9188219
香山區,24.7207648,120.9187647
香山區,24.7206487,120.9186379
香山區,24.7206068,120.9185842
香山區,24.7205658,120.9185316
香山區,24.7205039,120.9184288
香山區,24.720436,120.9183109
香山區,24.7203664,120.9181697
香山區,24.7203288,120.9180536
香山區,24.7202822,120.9179154
香山區,24.7200287,120.9164759
香山區,24.7200001,120.916324
香山區,24.7199891,120.9162773
香山區,24.7199661,120.9161793
香山區,24.7199357,120.9160614
香山區,24.7198732,120.9159038
香山區,24.7198125,120.9157934
香山區,24.7197499,120.9156879
香山區,24.7196584,120.9155662
香山區,24.7195498,120.9154467
香山區,24.7194569,120.9153627
香山區,24.7193801,120.9153127
香山區,24.7192943,120.9152627
香山區,24.7192371,120.9152323
香山區,24.7191335,120.9151859
香山區,24.7190334,120.9151501
香山區,24.7189495,120.9151305
香山區,24.7188637,120.915109
香山區,24.7187295,120.9150908
