town,latitude,longitude
新埔鎮,24.8245336,121.0885635
新埔鎮,24.8249173,121.0878754
關西鎮,24.7936136,121.1760634
關西鎮,24.7933607,121.1770273
橫山鄉,24.7173254,121.1532902
橫山鄉,24.7174875,121.1536121
橫山鄉,24.7176836,121.1540788
橫山鄉,24.7179516,121.154634
橫山鄉,24.718417,121.1556398
橫山鄉,24.7186307,121.1560553
橫山鄉,24.7187191,121.1561843
橫山鄉,24.7187532,121.15622
橫山鄉,24.7188397,121.1563104
橫山鄉,24.7190185,121.1564268
橫山鄉,24.7191656,121.1564993
橫山鄉,24.719383,121.1566201
橫山鄉,24.7199166,121.1568857
橫山鄉,24.7205601,121.1572532
橫山鄉,24.721169,121.1576656
橫山鄉,24.721497,121.1578142
橫山鄉,24.7218488,121.1578727
橫山鄉,24.7220547,121.157898
橫山鄉,24.7228455,121.1579655
橫山鄉,24.7230748,121.1579498
橫山鄉,24.7233352,121.1578961
橫山鄉,24.7237225,121.1576943
橫山鄉,24.7241717,121.1574339
橫山鄉,24.7253274,121.1568144
橫山鄉,24.7255336,121.1567422
橫山鄉,24.7257614,121.1567271
橫山鄉,24.7260318,121.1567477
芎林鄉,24.7665874,121.0812473
芎林鄉,24.7684227,121.0828787
芎林鄉,24.7694112,121.0837736
竹東鎮,24.758607,121.0709556
竹東鎮,24.7581359,121.0697864
竹東鎮,24.7579489,121.0692988
竹東鎮,24.757502,121.0678262
竹東鎮,24.7573096,121.0670886
竹東鎮,24.7571147,121.0660158
竹東鎮,24.7569783,121.0651682
竹東鎮,24.7569053,121.0644333
竹東鎮,24.7568566,121.0628212
竹東鎮,24.7569045,121.0614515
橫山鄉,24.7174205,121.1532312
橫山鄉,24.7173254,121.1532902
橫山鄉,24.7174205,121.1532312
橫山鄉,24.7173194,121.1529657
橫山鄉,24.717267,121.1527216
橫山鄉,24.7172532,121.1518691
橫山鄉,24.7172394,121.1512654
橫山鄉,24.7172219,121.1505611
橫山鄉,24.717217,121.150093
橫山鄉,24.7172224,121.1499959
橫山鄉,24.7172353,121.1497617
橫山鄉,24.7172847,121.1494886
橫山鄉,24.7175338,121.1486902
橫山鄉,24.7177726,121.1479553
橫山鄉,24.7178786,121.147608
橫山鄉,24.7178901,121.1475386
橫山鄉,24.7179163,121.14738
橫山鄉,24.7179358,121.147042
橫山鄉,24.7179267,121.1467552
橫山鄉,24.7179254,121.1467154
橫山鄉,24.7179181,121.1466256
橫山鄉,24.7179084,121.1465733
橫山鄉,24.7178426,121.146407
橫山鄉,24.7175843,121.1459805
橫山鄉,24.7175088,121.1458142
橫山鄉,24.7174522,121.1454729
橫山鄉,24.7174162,121.1452161
橫山鄉,24.7173723,121.1450578
橫山鄉,24.7172676,121.1448862
橫山鄉,24.7169118,121.1444154
橫山鄉,24.7168388,121.144288
橫山鄉,24.7167949,121.1441432
橫山鄉,24.7261246,121.1294868
橫山鄉,24.7260746,121.1295793
橫山鄉,24.7255926,121.1306262
橫山鄉,24.7255236,121.1307762
橫山鄉,24.7254643,121.130905
橫山鄉,24.7252621,121.1313442
橫山鄉,24.725093,121.1317229
橫山鄉,24.7248113,121.1323371
橫山鄉,24.7246078,121.1327649
橫山鄉,24.7245396,121.1328869
橫山鄉,24.7243009,121.1332652
橫山鄉,24.7239904,121.1336844
橫山鄉,24.7238216,121.1338619
橫山鄉,24.7236089,121.1340855
橫山鄉,24.7231658,121.1345774
橫山鄉,24.722286,121.1354685
橫山鄉,24.7217837,121.1360062
橫山鄉,24.7213918,121.1364258
橫山鄉,24.7212274,121.1365992
橫山鄉,24.721041,121.1367959
橫山鄉,24.7203554,121.1375281
橫山鄉,24.7189997,121.1389757
