town,latitude,longitude
富里鄉,23.2829783,121.3401918
富里鄉,23.2831107,121.3402118
富里鄉,23.2846427,121.3403959
富里鄉,23.2853311,121.3404411
富里鄉,23.28578,121.3404296
富里鄉,23.2863287,121.3403472
富里鄉,23.286926,121.3402457
富里鄉,23.2874157,121.3401348
富里鄉,23.2876785,121.3400238
富里鄉,23.2878019,121.3399456
富里鄉,23.2880116,121.3397329
富里鄉,23.2882367,121.3394662
富里鄉,23.2884189,121.3392363
富里鄉,23.288765,121.3388122
富里鄉,23.289039,121.3385593
富里鄉,23.2891681,121.3384904
富里鄉,23.2893389,121.3384049
富里鄉,23.2895131,121.3383668
富里鄉,23.2897473,121.3383363
富里鄉,23.2901089,121.3383053
富里鄉,23.2902891,121.3382595
富里鄉,23.2904141,121.3382031
富里鄉,23.2905134,121.3381336
富里鄉,23.2905895,121.3380305
富里鄉,23.2906557,121.3378998
富里鄉,23.2906823,121.3377557
富里鄉,23.2906973,121.337482
富里鄉,23.2906999,121.3371791
富里鄉,23.2906618,121.3368275
富里鄉,23.2905767,121.3364029
富里鄉,23.2906022,121.3361658
富里鄉,23.290724,121.3358091
富里鄉,23.2907655,121.3357166
富里鄉,23.2909039,121.3354084
富里鄉,23.2910117,121.3351645
富里鄉,23.2910912,121.3350704
富里鄉,23.2912946,121.3349605
富里鄉,23.291636,121.3348444
富里鄉,23.2920456,121.334752
富里鄉,23.2928276,121.3346319
富里鄉,23.2953998,121.3343149
富里鄉,23.2957452,121.3342547
富里鄉,23.2958309,121.3342398
富里鄉,23.2969888,121.3340976
富里鄉,23.2971525,121.3340378
富里鄉,23.2972813,121.3339949
富里鄉,23.29737,121.333909
富里鄉,23.2974418,121.3337899
富里鄉,23.2974969,121.3336569
富里鄉,23.2682909,121.3607028
富里鄉,23.2682854,121.3606375
玉里鎮,23.3238779,121.3240841
玉里鎮,23.323809,121.3240023
玉里鎮,23.3238684,121.3235737
玉里鎮,23.3238725,121.3235503
玉里鎮,23.3238992,121.323398
玉里鎮,23.3239317,121.3232017
玉里鎮,23.3240819,121.3223648
玉里鎮,23.3241702,121.3219008
玉里鎮,23.3242489,121.3214921
玉里鎮,23.3243835,121.320793
玉里鎮,23.3244204,121.3205289
玉里鎮,23.3245035,121.3200984
玉里鎮,23.3235828,121.3250112
玉里鎮,23.3234913,121.3255495
玉里鎮,23.323478,121.3256044
玉里鎮,23.3232723,121.3268737
富里鄉,23.297469,121.3333379
富里鄉,23.2972931,121.3333285
富里鄉,23.2968065,121.3333225
富里鄉,23.2964255,121.3333035
富里鄉,23.2955181,121.3332581
富里鄉,23.2948381,121.3331777
富里鄉,23.2941459,121.3329792
富里鄉,23.2938946,121.332904
富里鄉,23.2935004,121.3327029
富里鄉,23.2932097,121.3325178
富里鄉,23.2929781,121.3323327
富里鄉,23.2927096,121.3321074
富里鄉,23.2922086,121.3316739
富里鄉,23.2919401,121.3314462
富里鄉,23.2915813,121.3311418
富里鄉,23.2912708,121.3308763
富里鄉,23.2910361,121.3306658
富里鄉,23.2906081,121.330254
富里鄉,23.2901597,121.3297739
富里鄉,23.2896588,121.3292363
富里鄉,23.2895073,121.3290738
富里鄉,23.2893049,121.3288566
富里鄉,23.2886782,121.328291
富里鄉,23.2874201,121.3273653
富里鄉,23.2866816,121.3269204
富里鄉,23.2856346,121.3262898
富里鄉,23.2853833,121.3260842
富里鄉,23.2846992,121.3255244
富里鄉,23.284149,121.3250741
富里鄉,23.2837319,121.3247635
富里鄉,23.2832999,121.3245075
富里鄉,23.2815646,121.3237642
富里鄉,23.2812211,121.3235847
富里鄉,23.2809863,121.3234274
富里鄉,23.2808893,121.3233476
富里鄉,23.2805604,121.323077
富里鄉,23.280111,121.3226711
富里鄉,23.2800749,121.3226358
吉安鄉,23.9548049,121.5639723
吉安鄉,23.9546355,121.5637021
吉安鄉,23.9531656,121.5615702
吉安鄉,23.9519937,121.5598238
吉安鄉,23.9503602,121.5573888
吉安鄉,23.9491783,121.5556592
吉安鄉,23.9483217,121.5544056
吉安鄉,23.9469817,121.5524446
吉安鄉,23.9468529,121.5522626
吉安鄉,23.946283,121.5514475
壽豐鄉,23.8847984,121.5141218
壽豐鄉,23.8857833,121.5144137
壽豐鄉,23.8858731,121.5144285
壽豐鄉,23.885981,121.5144352
壽豐鄉,23.8860698,121.5144247
壽豐鄉,23.8860967,121.5144195
壽豐鄉,23.8861723,121.5144084
壽豐鄉,23.8863133,121.5143494
壽豐鄉,23.8864052,121.5143024
壽豐鄉,23.8865409,121.5142226
壽豐鄉,23.8870123,121.5138403
壽豐鄉,23.8872587,121.5136882
壽豐鄉,23.8873924,121.5136413
壽豐鄉,23.8880263,121.5134146
壽豐鄉,23.8881673,121.5133489
壽豐鄉,23.8882579,121.5133091
壽豐鄉,23.8883646,121.5132204
壽豐鄉,23.888481,121.5130791
壽豐鄉,23.8885802,121.5129215
壽豐鄉,23.88864,121.5127826
壽豐鄉,23.8887296,121.5123375
壽豐鄉,23.8887734,121.512243
壽豐鄉,23.8888381,121.5121473
壽豐鄉,23.8889068,121.512036
壽豐鄉,23.8889544,121.5119706
壽豐鄉,23.8889595,121.5119635
壽豐鄉,23.8890833,121.5118616
壽豐鄉,23.8891765,121.5117677
壽豐鄉,23.889282,121.5116631
壽豐鄉,23.8893788,121.5115639
壽豐鄉,23.8894438,121.511466
壽豐鄉,23.8897671,121.5109454
壽豐鄉,23.8899697,121.5106899
壽豐鄉,23.8901012,121.5105241
玉里鎮,23.3500794,121.3240117
玉里鎮,23.347998,121.32311
玉里鎮,23.3463848,121.3224092
玉里鎮,23.3462087,121.3223335
