town,latitude,longitude
鳳山區,22.5969193,120.3424731
鳳山區,22.595056,120.3439454
鳳山區,22.5934873,120.3451883
鳳山區,22.5928341,120.3457906
鳳山區,22.5924349,120.3462335
鳳山區,22.5921695,120.3466281
鳳山區,22.5919458,120.3470321
鳳山區,22.5917222,120.3475365
鳳山區,22.591528,120.3482207
鳳山區,22.5912943,120.3496919
鳳山區,22.5910534,120.3518296
鳳山區,22.5908472,120.3536666
鳳山區,22.5907753,120.3542813
鳳山區,22.5903877,120.3575299
鳳山區,22.5902573,120.3588495
鳳山區,22.5901056,120.3607066
鳳山區,22.5899908,120.3634459
鳳山區,22.589981,120.3640627
鳳山區,22.589934,120.3668819
鳳山區,22.5899132,120.3675277
鳳山區,22.5898441,120.3681052
鳳山區,22.589729,120.3688271
大寮區,22.5895606,120.3695141
大寮區,22.5894015,120.3703075
大寮區,22.5892903,120.3710772
大寮區,22.5892266,120.3720569
大寮區,22.5891433,120.3774818
大寮區,22.589313,120.3880019
大寮區,22.5892774,120.3898351
大寮區,22.5891823,120.3909732
大寮區,22.5889462,120.3922992
大寮區,22.5877343,120.3977345
大寮區,22.5874036,120.3993171
大寮區,22.5870266,120.4009221
大寮區,22.5868211,120.4019128
大寮區,22.5867125,120.4024502
大寮區,22.5866434,120.4029043
大寮區,22.5865758,120.4034962
大寮區,22.5865198,120.4042486
大寮區,22.5864337,120.4104193
大寮區,22.5864263,120.4117692
大寮區,22.5864252,120.4119441
大寮區,22.5864072,120.4148556
大寮區,22.5864232,120.4152729
大寮區,22.5864665,120.4157697
大寮區,22.5866274,120.4166455
大寮區,22.58683,120.417239
大寮區,22.587076,120.4177508
大寮區,22.5874124,120.4182801
大寮區,22.5878767,120.4188508
大寮區,22.5884208,120.4194134
大寮區,22.5898228,120.4207593
大寮區,22.5906651,120.4215875
大寮區,22.591002,120.4219755
大寮區,22.5913154,120.4223987
大寮區,22.591538,120.4228025
大寮區,22.5917485,120.4233248
大寮區,22.591922,120.423895
大寮區,22.5919793,120.4243146
大寮區,22.5920266,120.4249741
大寮區,22.5920405,120.4264271
大寮區,22.5920513,120.4283808
大寮區,22.5920573,120.4287404
大寮區,22.5920973,120.4298044
大寮區,22.59218,120.4309031
大寮區,22.5922623,120.4318022
大寮區,22.5925078,120.433581
大寮區,22.5926343,120.4350592
大寮區,22.5928543,120.4369937
橋頭區,22.7669229,120.3058004
橋頭區,22.7663539,120.3061039
橋頭區,22.7648393,120.3069457
橋頭區,22.7645024,120.30712
橋頭區,22.7640875,120.3073437
橋頭區,22.7636563,120.3075763
左營區,22.6702503,120.3034481
左營區,22.6703563,120.3035609
楠梓區,22.7079436,120.3023671
楠梓區,22.7079426,120.3022695
楠梓區,22.7160072,120.2881018
楠梓區,22.7160529,120.2880687
楠梓區,22.7160715,120.2880541
楠梓區,22.7164345,120.2877682
楠梓區,22.7167241,120.2875277
楠梓區,22.7169992,120.2872028
楠梓區,22.7171167,120.2870298
楠梓區,22.7173801,120.2865971
楠梓區,22.7208971,120.2808579
楠梓區,22.7209293,120.2808153
楠梓區,22.7209779,120.2807274
楠梓區,22.7210798,120.2805591
楠梓區,22.7211512,120.2804467
楠梓區,22.7213284,120.2801348
楠梓區,22.7218286,120.2793431
楠梓區,22.721897,120.2792324
楠梓區,22.7220269,120.2790167
新興區,22.6231865,120.3010539
前金區,22.6231393,120.3009136
梓官區,22.7392192,120.2490861
梓官區,22.7393941,120.2493404
梓官區,22.7397063,120.2498166
梓官區,22.7403029,120.2507666
梓官區,22.7404758,120.2510221
梓官區,22.7406482,120.251279
梓官區,22.7410114,120.2518203
梓官區,22.7419734,120.2533032
梓官區,22.7420834,120.2534794
梓官區,22.7421913,120.2536512
梓官區,22.7424455,120.2540302
