town,latitude,longitude
中正區,25.1317441,121.744917
中正區,25.1318059,121.744958
中正區,25.1321854,121.7452098
中正區,25.1326692,121.7455309
中正區,25.1335734,121.7461308
中正區,25.1344881,121.7467378
中正區,25.1348985,121.74701
中正區,25.1353948,121.7473394
中正區,25.1361621,121.7478485
中正區,25.1365699,121.7481191
中正區,25.1366511,121.748173
中正區,25.1369678,121.7481718
中正區,25.1370518,121.7483787
中正區,25.1371957,121.7486285
中正區,25.1376443,121.749436
七堵區,25.0994014,121.7179003
七堵區,25.0996494,121.7183896
七堵區,25.0997764,121.7186607
七堵區,25.0998468,121.7188711
七堵區,25.0998965,121.7190814
七堵區,25.0999117,121.7191769
七堵區,25.0999328,121.7193096
暖暖區,25.110684,121.7368398
暖暖區,25.1107048,121.7371459
暖暖區,25.1107084,121.7372259
暖暖區,25.1107259,121.7373967
暖暖區,25.1107622,121.7374837
暖暖區,25.1108064,121.7375737
暖暖區,25.1109292,121.7377712
仁愛區,25.112083,121.7392161
仁愛區,25.1140472,121.7416921
仁愛區,25.1143597,121.742134
仁愛區,25.1146687,121.7424928
仁愛區,25.1149294,121.7427859
仁愛區,25.1152264,121.7430582
七堵區,25.1009741,121.7092712
七堵區,25.100842,121.7090036
七堵區,25.1005728,121.7085099
七堵區,25.100331,121.7081252
七堵區,25.1000032,121.7076747
七堵區,25.0990729,121.706271
七堵區,25.0990006,121.7061634
七堵區,25.1248322,121.6975293
七堵區,25.1260016,121.6978011
七堵區,25.1265735,121.6978862
七堵區,25.1275419,121.697987
安樂區,25.1389051,121.7029174
安樂區,25.1395346,121.7033037
七堵區,25.1001459,121.6760602
七堵區,25.1000293,121.6757678
七堵區,25.099306,121.6736009
七堵區,25.0990789,121.6726575
七堵區,25.0988521,121.6719397
七堵區,25.0985587,121.6710341
七堵區,25.0983814,121.670491
七堵區,25.0981951,121.6700069
七堵區,25.097968,121.6695134
七堵區,25.0977224,121.6690249
七堵區,25.0974346,121.668466
七堵區,25.0970249,121.6678214
七堵區,25.0966903,121.6673757
安樂區,25.1369058,121.7082514
安樂區,25.1364174,121.7066046
安樂區,25.1360568,121.7056606
安樂區,25.1356799,121.704843
安樂區,25.135159,121.7039783
安樂區,25.1345464,121.7030864
安樂區,25.1327369,121.7007323
七堵區,25.1322405,121.7001213
七堵區,25.1318867,121.6997239
七堵區,25.1314035,121.6992166
七堵區,25.1308331,121.6987142
暖暖區,25.1047632,121.729873
暖暖區,25.1048558,121.730153
暖暖區,25.1051278,121.7308665
暖暖區,25.1051934,121.7312004
暖暖區,25.1052213,121.7314485
暖暖區,25.105214,121.7318092
暖暖區,25.105176,121.7321634
暖暖區,25.1050901,121.7326999
七堵區,25.1280336,121.698101
七堵區,25.128464,121.6982509
七堵區,25.1291666,121.698458
七堵區,25.1296067,121.6986047
七堵區,25.1297297,121.6986498
七堵區,25.1300266,121.6987585
七堵區,25.0921832,121.6601307
七堵區,25.1304994,121.6990095
七堵區,25.130919,121.6993407
七堵區,25.1314217,121.699825
安樂區,25.1319403,121.7004131
安樂區,25.1342212,121.7033763
安樂區,25.1347968,121.7041437
安樂區,25.135306,121.704983
安樂區,25.1357254,121.7058013
安樂區,25.1361022,121.7067935
安樂區,25.1365814,121.7083695
七堵區,25.0918053,121.6600904
七堵區,25.0999271,121.7077185
七堵區,25.1002291,121.7081531
七堵區,25.1004925,121.708583
七堵區,25.1007301,121.7090094
七堵區,25.1008686,121.7093221
七堵區,25.1291079,121.696949
七堵區,25.1298938,121.6970314
七堵區,25.1305715,121.6971181
七堵區,25.131073,121.6972288
七堵區,25.1317016,121.6975203
七堵區,25.1321596,121.697819
七堵區,25.0998649,121.6762444
七堵區,25.0999795,121.6765252
七堵區,25.1002542,121.6772149
七堵區,25.1006861,121.678041
七堵區,25.100978,121.6785946
七堵區,25.1014969,121.6793114
七堵區,25.1020201,121.6799562
七堵區,25.1026093,121.6806851
七堵區,25.1277476,121.6976647
七堵區,25.1270846,121.6976129
七堵區,25.1265489,121.6975575
七堵區,25.1258276,121.697421
七堵區,25.1255368,121.6973694
七堵區,25.1248315,121.6972528
暖暖區,25.1046457,121.7349277
暖暖區,25.1041188,121.7351864
暖暖區,25.103685,121.7353993
暖暖區,25.1036371,121.7354771
七堵區,25.1026614,121.6801737
七堵區,25.1021893,121.6797641
七堵區,25.1016791,121.6790791
七堵區,25.1012131,121.6784106
七堵區,25.1009144,121.6778592
七堵區,25.1005394,121.6771028
七堵區,25.1298813,121.6982483
七堵區,25.1296536,121.6981591
暖暖區,25.0982839,121.7487923
暖暖區,25.0982998,121.748655
暖暖區,25.0983189,121.7484337
暖暖區,25.0983804,121.7481439
暖暖區,25.0984338,121.7479749
暖暖區,25.0985018,121.7478019
暖暖區,25.098667,121.7474895
暖暖區,25.0988576,121.7472065
暖暖區,25.098916,121.7471296
暖暖區,25.0989936,121.7470335
暖暖區,25.0991484,121.74685
暖暖區,25.0992121,121.7467914
暖暖區,25.0992759,121.7467261
暖暖區,25.0993328,121.7466869
暖暖區,25.099392,121.746654
暖暖區,25.0994572,121.7466263
暖暖區,25.0995404,121.7466036
暖暖區,25.0995882,121.7465923
暖暖區,25.0996589,121.7465884
暖暖區,25.0997002,121.7465902
暖暖區,25.0997483,121.7465964
暖暖區,25.0997906,121.7466066
暖暖區,25.1002142,121.7467398
暖暖區,25.1004377,121.7467934
暖暖區,25.1005713,121.7467787
暖暖區,25.1006518,121.74676
暖暖區,25.1007219,121.7467371
暖暖區,25.1009174,121.7466365
暖暖區,25.1010316,121.7465386
暖暖區,25.1011494,121.7463978
暖暖區,25.1012356,121.7461698
暖暖區,25.1015246,121.74551
安樂區,25.1395762,121.7029909
七堵區,25.1322707,121.6975935
七堵區,25.1318228,121.697287
七堵區,25.1311388,121.6969726
七堵區,25.1306628,121.6968409
七堵區,25.1300807,121.6967615
七堵區,25.1291743,121.6966625
暖暖區,25.1048428,121.7298548
暖暖區,25.1047355,121.7295181
暖暖區,25.1046946,121.7293484
暖暖區,25.1046743,121.7292245
暖暖區,25.1046626,121.7291139
暖暖區,25.1046536,121.7289932
暖暖區,25.1046497,121.7288725
暖暖區,25.104661,121.7286658
暖暖區,25.104891,121.7268849
七堵區,25.1051761,121.7247862
七堵區,25.105204,121.724121
七堵區,25.1051894,121.7238662
七堵區,25.1051579,121.7236583
七堵區,25.1050651,121.7233323
七堵區,25.1049921,121.7231388
七堵區,25.1049193,121.7229708
七堵區,25.104699,121.7225221
七堵區,25.1043635,121.7218282
安樂區,25.1366797,121.7086717
安樂區,25.1367471,121.708879
七堵區,25.1286387,121.6967105
七堵區,25.1283348,121.696772
七堵區,25.1280501,121.6968645
七堵區,25.1035597,121.7197245
七堵區,25.1037135,121.7204152
七堵區,25.10377,121.7206506
七堵區,25.1038297,121.7208814
暖暖區,25.10725,121.733635
暖暖區,25.1073698,121.7335053
暖暖區,25.1078728,121.732883
暖暖區,25.1080174,121.7327083
暖暖區,25.1084272,121.732213
暖暖區,25.1084742,121.7321536
暖暖區,25.1085526,121.7320271
暖暖區,25.1088879,121.7314914
七堵區,25.1020845,121.7131006
暖暖區,25.1045286,121.7358694
暖暖區,25.1044996,121.7360172
暖暖區,25.1044465,121.7362578
暖暖區,25.1043391,121.7366695
暖暖區,25.1035898,121.7393327
暖暖區,25.1034589,121.7398162
暖暖區,25.1033673,121.7402047
暖暖區,25.1033012,121.7406073
暖暖區,25.1032505,121.7410053
暖暖區,25.1032046,121.741479
暖暖區,25.1031576,121.7424108
暖暖區,25.1030868,121.7430409
暖暖區,25.1030417,121.7433467
暖暖區,25.1029794,121.743662
暖暖區,25.1028851,121.7440237
暖暖區,25.1027763,121.7443713
暖暖區,25.1026675,121.7446811
暖暖區,25.1025789,121.7449035
暖暖區,25.1025032,121.745074
暖暖區,25.1009474,121.7485427
暖暖區,25.1007899,121.7489611
暖暖區,25.100699,121.749321
暖暖區,25.1006546,121.7496957
暖暖區,25.1006513,121.7500239
暖暖區,25.1006722,121.7502872
暖暖區,25.1007082,121.7505373
暖暖區,25.1007572,121.7507625
暖暖區,25.1008144,121.7509612
暖暖區,25.100893,121.7511783
暖暖區,25.1012558,121.7519944
暖暖區,25.105176,121.7326999
暖暖區,25.1052833,121.7319274
暖暖區,25.1053075,121.7315893
暖暖區,25.105299,121.7313332
暖暖區,25.1052699,121.7311494
暖暖區,25.1052286,121.7309335
暖暖區,25.1051116,121.7305756
中正區,25.149512,121.7820047
中正區,25.1494114,121.7821574
中正區,25.1493422,121.7822472
中正區,25.1492719,121.7823341
中正區,25.1492137,121.7823942
中正區,25.1491471,121.7824592
中正區,25.1490729,121.7825257
中正區,25.1489847,121.7825921
中正區,25.1488891,121.7826546
中正區,25.1488073,121.7827012
中正區,25.1487031,121.7827545
中正區,25.1479465,121.7831659
中正區,25.1477923,121.7832378
中正區,25.147718,121.7832706
中正區,25.1475796,121.783317
中正區,25.1461817,121.783632
中正區,25.1460874,121.7836702
中正區,25.1460016,121.7837145
中正區,25.1459305,121.7837589
中正區,25.1458523,121.7838058
中正區,25.145792,121.7838383
中正區,25.1457328,121.7838929
中正區,25.1456821,121.7839545
中正區,25.1456357,121.7840212
中正區,25.1454713,121.784278
中正區,25.1450629,121.7849161
中正區,25.1442964,121.7861301
中正區,25.1441816,121.7863125
中正區,25.1441135,121.7864311
中正區,25.1440572,121.7865682
中正區,25.1440119,121.7867243
中正區,25.1438308,121.7872663
中正區,25.1435919,121.7880561
中正區,25.1435079,121.7882534
暖暖區,25.10091,121.7509791
暖暖區,25.1008465,121.7507894
暖暖區,25.1007887,121.7505537
暖暖區,25.1007519,121.7502752
暖暖區,25.1007411,121.7499751
暖暖區,25.1007479,121.7497327
暖暖區,25.1007834,121.7494112
暖暖區,25.1008703,121.7489979
暖暖區,25.1009896,121.7486742
暖暖區,25.1026529,121.7449359
暖暖區,25.1028391,121.7444526
暖暖區,25.1030134,121.7439053
暖暖區,25.1031471,121.7433159
暖暖區,25.1032141,121.7428474
暖暖區,25.1032491,121.742471
暖暖區,25.1033013,121.7415185
暖暖區,25.1034052,121.7406215
暖暖區,25.1034611,121.7402618
暖暖區,25.1035426,121.7399163
暖暖區,25.1036608,121.7394589
暖暖區,25.1039529,121.7384505
暖暖區,25.1044881,121.7364999
暖暖區,25.1046696,121.735679
暖暖區,25.0983341,121.7515351
暖暖區,25.0983267,121.7509596
暖暖區,25.0983087,121.7504461
暖暖區,25.0983083,121.7504155
暖暖區,25.0983005,121.7492816
暖暖區,25.1107997,121.7348901
暖暖區,25.1107377,121.7345182
暖暖區,25.1107076,121.734428
暖暖區,25.1106774,121.7343378
暖暖區,25.11054,121.7341062
暖暖區,25.1102928,121.7336898
暖暖區,25.1102455,121.7336101
暖暖區,25.108615,121.73007
暖暖區,25.1086262,121.7301975
暖暖區,25.1086061,121.7303346
暖暖區,25.1085144,121.7306559
暖暖區,25.1085188,121.7307887
暖暖區,25.1091027,121.7310691
暖暖區,25.1101928,121.7335165
七堵區,25.0781481,121.6912069
七堵區,25.0781583,121.6910062
七堵區,25.0781517,121.6907802
七堵區,25.078121,121.6905556
七堵區,25.0780781,121.6903437
七堵區,25.078002,121.6900221
七堵區,25.077836,121.6895689
七堵區,25.0779776,121.6930996
七堵區,25.077957,121.6926507
七堵區,25.077958,121.6924519
