town,latitude,longitude
金城鎮,24.4143051,118.2823342
金城鎮,24.4145255,118.2830243
金城鎮,24.4145472,118.2831071
金城鎮,24.414564,118.2832106
金城鎮,24.4145808,118.2833597
金城鎮,24.4146639,118.2844749
金城鎮,24.4146637,118.2845606
金城鎮,24.4146404,118.2846437
金城鎮,24.4146025,118.2847054
金城鎮,24.4145302,118.284752
金城鎮,24.414458,118.2847987
金城鎮,24.4143643,118.2848958
金城鎮,24.4137211,118.2857834
金城鎮,24.413694,118.2858401
金城鎮,24.4136571,118.2859638
金城鎮,24.4135045,118.2865807
金城鎮,24.4309943,118.3213344
金城鎮,24.4308104,118.3206187
金城鎮,24.4308066,118.3205713
金城鎮,24.4109004,118.2998579
金城鎮,24.4115058,118.300503
金城鎮,24.4120178,118.3010486
金城鎮,24.4123861,118.3014403
金城鎮,24.4135423,118.30267
金城鎮,24.4137378,118.3029192
金城鎮,24.4140135,118.3033913
金城鎮,24.4141184,118.3035929
金城鎮,24.4144638,118.3041753
金城鎮,24.4145999,118.3044047
金沙鎮,24.4904782,118.4104121
金沙鎮,24.4897242,118.4115537
金沙鎮,24.4895397,118.4118329
金沙鎮,24.4894403,118.4119834
金沙鎮,24.4890793,118.41253
金寧鄉,24.4298182,118.3415275
金寧鄉,24.4301885,118.342244
金寧鄉,24.4312148,118.343845
金寧鄉,24.431516,118.344248
金寧鄉,24.4323498,118.3454139
金湖鎮,24.4441419,118.3762655
金湖鎮,24.4442163,118.3765318
金湖鎮,24.4442293,118.3765782
金湖鎮,24.4443809,118.3771672
金湖鎮,24.4444097,118.3773785
金湖鎮,24.4444301,118.3775667
金湖鎮,24.4444322,118.3777077
金湖鎮,24.4444237,118.3778644
金湖鎮,24.4443998,118.3780387
金湖鎮,24.4440572,118.379772
金湖鎮,24.4436722,118.3823772
金湖鎮,24.4436495,118.3826937
金湖鎮,24.443424,118.3879898
金湖鎮,24.4434124,118.3882632
金城鎮,24.4323858,118.324539
金寧鄉,24.4324126,118.3246499
金城鎮,24.4327762,118.3262724
金城鎮,24.4327858,118.3263427
金城鎮,24.432738,118.3269656
金城鎮,24.4326794,118.3278214
金城鎮,24.4326643,118.328042
金城鎮,24.4328,118.3290802
金寧鄉,24.4328065,118.3292981
金城鎮,24.4324579,118.3303898
金寧鄉,24.4323531,118.3308867
金寧鄉,24.4317388,118.3313762
金寧鄉,24.4312049,118.3319994
金寧鄉,24.4311472,118.3322114
金寧鄉,24.4308489,118.3333067
金寧鄉,24.4308642,118.3338189
金寧鄉,24.4308712,118.334052
金寧鄉,24.4300503,118.3378243
金寧鄉,24.4300257,118.3379374
金寧鄉,24.4299341,118.3390153
金寧鄉,24.4298029,118.3405606
金寧鄉,24.4297775,118.3408601
金寧鄉,24.4706665,118.2938095
金寧鄉,24.4709282,118.2940839
金寧鄉,24.4713564,118.2951033
金寧鄉,24.4720701,118.2968544
金寧鄉,24.4722905,118.2981106
金寧鄉,24.4724116,118.2988005
金寧鄉,24.4724416,118.2991284
金寧鄉,24.4726552,118.3014663
金寧鄉,24.4728014,118.3037948
金寧鄉,24.473118,118.3046726
金寧鄉,24.4738586,118.3059199
金寧鄉,24.4746965,118.307879
金寧鄉,24.4751587,118.309057
金湖鎮,24.4247841,118.4344914
金湖鎮,24.4275656,118.4307049
金湖鎮,24.4486238,118.4219807
金湖鎮,24.4486125,118.4218564
金湖鎮,24.4485336,118.4217665
金湖鎮,24.448445,118.4217463
金湖鎮,24.4483592,118.4217778
金湖鎮,24.4482996,118.4218525
金湖鎮,24.4482823,118.4219501
金湖鎮,24.448327,118.4220646
金湖鎮,24.4484267,118.4221242
金湖鎮,24.448551,118.4220951
金湖鎮,24.4647009,118.4366215
金湖鎮,24.4632674,118.4354067
金湖鎮,24.4626876,118.4349146
金湖鎮,24.4590302,118.4318104
金湖鎮,24.4561507,118.4292479
金湖鎮,24.4540941,118.4276368
金湖鎮,24.4517736,118.4255701
金城鎮,24.4169213,118.2866916
金城鎮,24.4167709,118.2865461
金城鎮,24.4162639,118.2865372
金城鎮,24.4158366,118.2865251
金城鎮,24.4151194,118.2864957
金城鎮,24.4108104,118.2999828
金城鎮,24.4104949,118.3004209
金城鎮,24.4099395,118.3011919
金城鎮,24.4096483,118.3014892
金城鎮,24.4093139,118.3018304
金城鎮,24.4073268,118.3036585
金城鎮,24.4064001,118.3044956
金城鎮,24.4058926,118.304954
