latitude,longitude
26.1607817,119.9520709
26.1605996,119.9521638
26.1603733,119.9522201
26.160151,119.9522357
26.1600291,119.9522443
26.1594224,119.9522604
26.1587125,119.952322
26.1577867,119.9523724
26.1576881,119.9523937
26.1574482,119.9524455
26.1570173,119.9524401
26.1568295,119.9523838
26.1567432,119.9523544
26.1567044,119.9523327
26.1566694,119.9522981
26.1566297,119.952247
26.1564886,119.952026
26.156465,119.9519999
26.1564012,119.9519608
26.1563345,119.9519345
26.156252,119.951928
26.1608937,119.9519189
26.1608841,119.9517322
26.1608723,119.9514638
26.1608657,119.951234
26.16088,119.9509784
26.1609058,119.950664
26.1609111,119.9505443
26.1609033,119.9504246
26.1608783,119.950265
26.1607417,119.9498875
26.1605569,119.9494184
26.1604459,119.949164
26.160248,119.9487157
26.1601009,119.948339
26.1599813,119.9480631
26.1599262,119.9479317
26.1597309,119.9477292
26.1596153,119.9476541
26.1594769,119.9475088
26.1592277,119.9474786
26.1591094,119.94746
26.1589591,119.9474609
26.1587892,119.9474879
26.1587013,119.9475227
26.1585413,119.9476327
26.158418,119.9476754
26.1582907,119.9476532
26.1577734,119.9473106
26.157457,119.9471071
26.1573203,119.9470439
26.1571135,119.9469603
26.1568323,119.9468607
26.1567164,119.9467953
26.1565358,119.9467322
26.1562902,119.9467009
26.1561626,119.9467014
26.1559664,119.9467242
26.1556042,119.9467849
26.1554295,119.9467751
26.1552526,119.9467228
26.1550684,119.9465995
26.1549709,119.9464828
26.1546683,119.9459145
26.1545568,119.9457546
26.1544942,119.9456955
26.1544039,119.9456607
26.1543076,119.9456701
26.1542043,119.9456936
26.1540873,119.9457505
26.1539544,119.9458306
26.1538327,119.9458813
26.1536881,119.9458947
26.1536257,119.9458753
26.1535408,119.9458404
26.1533687,119.9457291
26.1531508,119.9455547
26.152922,119.9453844
26.1527766,119.9452253
26.1525862,119.9449116
26.1524197,119.9445007
26.1523869,119.9443872
26.1523352,119.9442085
26.1521535,119.9435806
26.1520035,119.9431622
26.1518386,119.9428967
26.1515678,119.9425279
26.1514341,119.9422891
26.1513174,119.9421537
26.1511665,119.9420708
26.1510477,119.9420048
26.1508968,119.9419338
26.1507588,119.9418667
26.1506311,119.9418278
26.1505108,119.9418291
26.1503663,119.9418573
26.1500204,119.9420222
26.1497665,119.9421371
26.1494889,119.9422343
26.1491637,119.9422431
26.1487655,119.9421708
26.1482536,119.9419284
26.1481742,119.9419056
26.1480754,119.9418801
26.1479938,119.9418802
26.1479177,119.941915
26.147819,119.9419203
26.1475313,119.9419056
26.1474145,119.9418882
26.1472953,119.9417822
26.1472207,119.9416374
26.1471632,119.9414775
26.1469903,119.9412683
26.1466288,119.9409459
26.1465766,119.9409185
26.1464936,119.9408897
26.1464033,119.940885
26.1461926,119.9409078
26.1460343,119.9409125
26.1459133,119.9408796
