town,latitude,longitude
苑裡鎮,24.3961644,120.6693421
銅鑼鄉,24.4588961,120.7811936
銅鑼鄉,24.4584209,120.7812824
銅鑼鄉,24.4579034,120.7813196
銅鑼鄉,24.4576448,120.7813605
三義鄉,24.3953347,120.7592082
三義鄉,24.3952495,120.7590266
三義鄉,24.395142,120.7588901
三義鄉,24.3949208,120.7585713
三義鄉,24.3947296,120.758266
三義鄉,24.3945169,120.7578962
三義鄉,24.3941817,120.7575237
三義鄉,24.3939731,120.7573528
三義鄉,24.3937746,120.7572122
三義鄉,24.39355,120.7570341
三義鄉,24.3934734,120.7569834
通霄鎮,24.4815224,120.6837341
通霄鎮,24.4814016,120.6836053
通霄鎮,24.4810769,120.683246
通霄鎮,24.4807962,120.6828556
通霄鎮,24.4804167,120.6823165
通霄鎮,24.4802494,120.681992
通霄鎮,24.4801115,120.6816741
通霄鎮,24.4800392,120.6815197
通霄鎮,24.4799846,120.6813871
通霄鎮,24.4799304,120.6812614
通霄鎮,24.4798619,120.6811089
三義鄉,24.4248657,120.7744758
三義鄉,24.4244656,120.7742884
三義鄉,24.4239535,120.774022
三義鄉,24.4236789,120.773911
三義鄉,24.42342,120.7738305
三義鄉,24.4223821,120.7737098
三義鄉,24.4218985,120.7736508
三義鄉,24.4269926,120.7751327
三義鄉,24.4267015,120.7749519
三義鄉,24.4265058,120.7748634
三義鄉,24.4262514,120.7747897
三義鄉,24.4260374,120.7747439
三義鄉,24.4250369,120.7745299
三義鄉,24.4214345,120.7735945
三義鄉,24.42132,120.7735848
三義鄉,24.4212,120.7735784
三義鄉,24.4206408,120.7734845
三義鄉,24.4200345,120.7734656
三義鄉,24.4198633,120.7734622
三義鄉,24.419362,120.7735376
三義鄉,24.4192087,120.7735733
三義鄉,24.4189421,120.7736127
三義鄉,24.4183143,120.7736727
三義鄉,24.4178314,120.7737819
三義鄉,24.4177666,120.7737902
三義鄉,24.4174662,120.7738286
三義鄉,24.4173078,120.7738274
苑裡鎮,24.3580299,120.7220428
苑裡鎮,24.3582962,120.7210472
苑裡鎮,24.3586266,120.7200169
苑裡鎮,24.3593993,120.7177285
苑裡鎮,24.3598808,120.7163163
苑裡鎮,24.3603101,120.7150573
苑裡鎮,24.3606848,120.7139586
三義鄉,24.3571386,120.7295863
三義鄉,24.35713,120.7285518
三義鄉,24.3571518,120.7272506
苑裡鎮,24.3573378,120.7253623
苑裡鎮,24.3575882,120.7239588
苑裡鎮,24.3579377,120.7224757
三義鄉,24.3576765,120.7363558
三義鄉,24.3578945,120.7360834
三義鄉,24.3579629,120.7358353
三義鄉,24.3579975,120.7356409
三義鄉,24.3580869,120.7352341
三義鄉,24.3581254,120.7349448
三義鄉,24.3581258,120.7344599
三義鄉,24.3580998,120.7341173
三義鄉,24.3580158,120.7337598
三義鄉,24.3576925,120.7328334
三義鄉,24.3575948,120.7325316
三義鄉,24.3574563,120.7319171
三義鄉,24.35726,120.7309686
三義鄉,24.3571745,120.730355
三義鄉,24.3551897,120.7335851
造橋鄉,24.654939,120.854177
造橋鄉,24.6548092,120.8538405
造橋鄉,24.6547141,120.8536104
造橋鄉,24.6546734,120.8535121
造橋鄉,24.6544614,120.8531121
造橋鄉,24.6541619,120.8527297
造橋鄉,24.654077,120.8526349
造橋鄉,24.6538912,120.8524223
後龍鎮,24.616548,120.7961877
後龍鎮,24.616457,120.796127
後龍鎮,24.614921,120.7951558
後龍鎮,24.6148272,120.7950925
後龍鎮,24.6142775,120.7947413
後龍鎮,24.6142479,120.7947224
後龍鎮,24.6142097,120.7946965
通霄鎮,24.4838679,120.6852521
通霄鎮,24.4841709,120.685338
通霄鎮,24.4842574,120.6853626
通霄鎮,24.4846763,120.6854815
通霄鎮,24.4850704,120.685633
通霄鎮,24.4855233,120.6858329
通霄鎮,24.485886,120.686023
通霄鎮,24.4863416,120.6863033
通霄鎮,24.4869251,120.6867248
通霄鎮,24.4873371,120.6870578
通霄鎮,24.4876858,120.6873442
通霄鎮,24.4883569,120.6879306
通霄鎮,24.4888437,120.6882954
通霄鎮,24.4890211,120.6884263
通霄鎮,24.4893296,120.6886167
通霄鎮,24.4898155,120.688878
通霄鎮,24.4904136,120.6891265
通霄鎮,24.4915286,120.6894945
通霄鎮,24.4921644,120.6897337
通霄鎮,24.4925006,120.6898753
通霄鎮,24.4927238,120.68999
通霄鎮,24.49276,120.6900086
後龍鎮,24.5944016,120.7826532
後龍鎮,24.592842,120.7808578
後龍鎮,24.5919278,120.7797033
後龍鎮,24.5914168,120.7789682
後龍鎮,24.5909485,120.7781914
後龍鎮,24.5994968,120.7871285
後龍鎮,24.598367,120.7862027
後龍鎮,24.5969771,120.7850537
後龍鎮,24.5956597,120.783916
後龍鎮,24.5994845,120.7872935
後龍鎮,24.6006293,120.7882576
後龍鎮,24.6015865,120.7891521
後龍鎮,24.6021156,120.7896642
後龍鎮,24.6023546,120.7899647
後龍鎮,24.5942477,120.7827701
後龍鎮,24.5955524,120.7840098
後龍鎮,24.5968776,120.785146
後龍鎮,24.596915,120.7851769
後龍鎮,24.5991203,120.7869973
造橋鄉,24.6162994,120.8635661
造橋鄉,24.6154674,120.8634992
造橋鄉,24.614859,120.8635327
造橋鄉,24.6144688,120.8635743
造橋鄉,24.6135824,120.8637526
造橋鄉,24.6117048,120.8643722
造橋鄉,24.6106257,120.8647531
造橋鄉,24.6100502,120.8649261
造橋鄉,24.6095174,120.8650642
造橋鄉,24.6089041,120.8651836
造橋鄉,24.6084042,120.8652453
造橋鄉,24.6077957,120.8652828
造橋鄉,24.6072007,120.8652842
造橋鄉,24.6066198,120.8652376
造橋鄉,24.6060066,120.8651524
造橋鄉,24.6054731,120.8650405
造橋鄉,24.6048485,120.8648705
造橋鄉,24.6038031,120.8645
造橋鄉,24.6034004,120.8643062
造橋鄉,24.602751,120.8639716
頭屋鄉,24.6015858,120.8632605
頭屋鄉,24.6006581,120.8626831
頭屋鄉,24.5996779,120.8621267
頭屋鄉,24.5986006,120.8615827
頭屋鄉,24.5976569,120.861213
