town,latitude,longitude
草屯鎮,24.0051156,120.6764234
草屯鎮,24.0041877,120.6769835
草屯鎮,24.0029925,120.677705
草屯鎮,24.0014224,120.6786577
草屯鎮,24.0006676,120.6791131
草屯鎮,23.9997088,120.6795575
草屯鎮,23.9990741,120.6797159
草屯鎮,23.9984376,120.6798413
草屯鎮,23.9976137,120.6798258
草屯鎮,23.9968206,120.6797274
草屯鎮,23.9962212,120.6795841
草屯鎮,23.9958382,120.6794941
草屯鎮,23.9953721,120.6793808
草屯鎮,23.9949436,120.6792847
草屯鎮,23.9942886,120.6792119
草屯鎮,23.9936289,120.6791789
草屯鎮,23.9926304,120.6791989
草屯鎮,23.9925983,120.6792013
草屯鎮,23.9906203,120.6793522
草屯鎮,23.9898303,120.6793693
草屯鎮,23.9897682,120.6793706
草屯鎮,23.9891067,120.6793381
草屯鎮,23.9884033,120.6791694
草屯鎮,23.9883988,120.6791673
草屯鎮,24.0066611,120.7112782
草屯鎮,24.006519,120.7119635
草屯鎮,24.0064554,120.7126124
草屯鎮,24.0064162,120.7131127
水里鄉,23.8145023,120.8503386
水里鄉,23.8144949,120.8505283
水里鄉,23.8145193,120.8511794
水里鄉,23.8145275,120.8513052
水里鄉,23.8145677,120.8514577
水里鄉,23.8148713,120.8522896
水里鄉,23.8154676,120.8538868
水里鄉,23.8156756,120.8543031
水里鄉,23.8157761,120.8544454
水里鄉,23.8158849,120.8545517
名間鄉,23.8357539,120.7051359
名間鄉,23.835706,120.7050876
南投市,23.9566326,120.6527781
南投市,23.9562197,120.651826
南投市,23.9560416,120.6514129
南投市,23.9554247,120.6501
南投市,23.9550447,120.6492376
南投市,23.9545298,120.6484652
南投市,23.9535642,120.6471777
南投市,23.9527273,120.6459332
南投市,23.9520192,120.6447315
南投市,23.9511824,120.6433153
南投市,23.9503455,120.6414485
南投市,23.9478604,120.6352591
名間鄉,23.8321724,120.7101093
名間鄉,23.8334346,120.7083388
名間鄉,23.833713,120.7079543
名間鄉,23.834875,120.7063524
名間鄉,23.8351599,120.7059562
名間鄉,23.835193,120.7059435
名間鄉,23.8355522,120.7054144
名間鄉,23.8357204,120.7051821
名間鄉,23.8357539,120.7051359
南投市,23.9476306,120.6354967
南投市,23.9498856,120.6411792
南投市,23.9507453,120.6430872
南投市,23.9516016,120.64465
南投市,23.9528564,120.6467021
南投市,23.9537785,120.6479349
南投市,23.9546417,120.6491715
南投市,23.9550681,120.6499871
南投市,23.9554,120.6506943
南投市,23.9557804,120.6515843
名間鄉,23.883285,120.6912476
名間鄉,23.882358,120.6916204
名間鄉,23.8820465,120.6917545
名間鄉,23.8818086,120.6918484
名間鄉,23.8816001,120.6919316
名間鄉,23.8815759,120.6919419
名間鄉,23.8808178,120.6922642
名間鄉,23.8804143,120.6924372
名間鄉,23.8800808,120.6926115
名間鄉,23.8796383,120.6928692
名間鄉,23.8792562,120.6930971
名間鄉,23.8790631,120.6931829
名間鄉,23.8788422,120.6932418
名間鄉,23.8786337,120.693274
名間鄉,23.87818,120.6933035
名間鄉,23.8776684,120.6933117
名間鄉,23.8768315,120.6933117
名間鄉,23.8764024,120.6933117
名間鄉,23.8762093,120.6933117
名間鄉,23.8757138,120.6933102
名間鄉,23.8754171,120.6933075
名間鄉,23.8749707,120.6933049
名間鄉,23.8746322,120.6932593
名間鄉,23.8742839,120.6931788
名間鄉,23.8734647,120.6929294
名間鄉,23.872975,120.692768
名間鄉,23.872903,120.6927443
名間鄉,23.8726725,120.6926745
名間鄉,23.8723536,120.6926155
名間鄉,23.8721108,120.6925941
名間鄉,23.8718263,120.6925726
名間鄉,23.8714461,120.692586
名間鄉,23.8697426,120.6927174
名間鄉,23.8690865,120.6927684
名間鄉,23.868098,120.6928825
名間鄉,23.8670887,120.6929656
南投市,23.9559427,120.6519413
信義鄉,23.4873406,120.8901802
信義鄉,23.4874153,120.8902595
信義鄉,23.4874753,120.8903214
信義鄉,23.487531,120.8903551
信義鄉,23.4875887,120.8903694
信義鄉,23.4876703,120.8903981
信義鄉,23.4877973,120.8903924
信義鄉,23.4881043,120.8903575
信義鄉,23.4881902,120.8903575
信義鄉,23.4883479,120.890438
信義鄉,23.4883833,120.8904648
信義鄉,23.4888554,120.8909154
信義鄉,23.4890485,120.8910656
信義鄉,23.4892845,120.89113
信義鄉,23.490057,120.8912802
信義鄉,23.4903145,120.8913445
信義鄉,23.4913445,120.8918166
