town,latitude,longitude
鶯歌區,24.9421954,121.3245317
鶯歌區,24.9427718,121.3242649
鶯歌區,24.9431551,121.3241286
鶯歌區,24.9676251,121.3308375
鶯歌區,24.967582,121.3307867
鶯歌區,24.9671279,121.3302473
鶯歌區,24.9667405,121.3297646
鶯歌區,24.9664925,121.3294378
鶯歌區,24.9664015,121.3293043
鶯歌區,24.9662861,121.3291123
鶯歌區,24.9660355,121.3286683
鶯歌區,24.9546273,121.3326326
鶯歌區,24.9543915,121.3333029
鶯歌區,24.9543202,121.3334881
鶯歌區,24.9542368,121.3336489
鶯歌區,24.9541411,121.3338178
鶯歌區,24.9540115,121.3340138
鶯歌區,24.9539539,121.3340905
鶯歌區,24.9538684,121.3341577
鶯歌區,24.9536507,121.3342859
鶯歌區,24.9531764,121.3345545
鶯歌區,24.9529139,121.334695
鶯歌區,24.9527775,121.3347906
鶯歌區,24.9523601,121.3351968
鶯歌區,24.9521242,121.3353706
鶯歌區,24.9519329,121.3354765
鶯歌區,24.9516149,121.3356108
鶯歌區,24.9509723,121.3359385
鶯歌區,24.9505345,121.3361851
鶯歌區,24.9501445,121.3364558
鶯歌區,24.9497549,121.3367262
鶯歌區,24.9493508,121.3371213
鶯歌區,24.9489734,121.337513
鶯歌區,24.9487885,121.3377749
鶯歌區,24.9486648,121.3379502
鶯歌區,24.948485,121.3383357
鶯歌區,24.9484429,121.3384259
鶯歌區,24.9482587,121.3388905
鶯歌區,24.94812,121.3393356
鶯歌區,24.9480418,121.3397083
鶯歌區,24.9480242,121.3399142
鶯歌區,24.9479863,121.3404594
鶯歌區,24.9479894,121.3410383
鶯歌區,24.947945,121.341279
淡水區,25.1274776,121.4605857
淡水區,25.127926,121.4603569
淡水區,25.1263678,121.4611197
淡水區,25.1262406,121.4612208
淡水區,25.1260875,121.4613523
淡水區,25.1255217,121.4618673
淡水區,25.1252667,121.4620979
林口區,25.1224194,121.3317761
林口區,25.1222633,121.3308255
林口區,25.1221103,121.3298841
林口區,25.1219743,121.3291277
林口區,25.1218603,121.3283469
林口區,25.1217641,121.3276448
林口區,25.121738,121.3274544
林口區,25.1216547,121.3265867
林口區,25.1216027,121.3255902
林口區,25.1215952,121.3254461
林口區,25.1215357,121.3243352
林口區,25.1214432,121.3217254
林口區,25.1213579,121.3201943
林口區,25.1213575,121.3201392
林口區,25.1213582,121.3192746
林口區,25.1213665,121.3188192
林口區,25.1213852,121.3186904
林口區,25.1214517,121.3175703
八里區,25.1421901,121.38986
八里區,25.1423376,121.3889128
八里區,25.1423946,121.388371
八里區,25.1424039,121.3879984
八里區,25.1423459,121.3874128
八里區,25.1422387,121.3868412
八里區,25.1420453,121.3862246
八里區,25.1415711,121.3850642
八里區,25.1414979,121.384885
八里區,25.1408363,121.3832658
八里區,25.1404173,121.3816545
三芝區,25.2517091,121.501594
三芝區,25.252231,121.5020782
三芝區,25.2525205,121.5023431
三芝區,25.2532933,121.5028304
三芝區,25.2541317,121.5030518
三芝區,25.2542182,121.5031575
三芝區,25.2591832,121.5024257
三芝區,25.2590915,121.5025517
三芝區,25.2586633,121.5029232
三芝區,25.2582109,121.5032719
三芝區,25.2581664,121.5033048
三芝區,25.2576068,121.5037145
三芝區,25.2515468,121.5014616
三芝區,25.251507,121.5014344
永和區,25.0043589,121.5125522
中和區,25.0041924,121.512388
中和區,25.0040994,121.5123114
中和區,25.0038487,121.5121067
永和區,25.0038155,121.5120772
永和區,25.0036938,121.5119767
永和區,25.0036258,121.5119204
永和區,25.003553,121.5118614
中和區,24.9936271,121.5040762
中和區,24.9936539,121.5037842
中和區,24.9936747,121.5034372
鶯歌區,24.9659901,121.3287632
深坑區,25.0118641,121.5970223
深坑區,25.0091898,121.596392
深坑區,25.0093886,121.5968192
深坑區,25.0118509,121.5973579
深坑區,25.0130724,121.5976425
深坑區,25.0141947,121.5978834
石碇區,25.0125444,121.644246
石碇區,25.0129578,121.6439938
石碇區,25.0134209,121.6437739
石碇區,25.014201,121.6434078
石碇區,25.015204,121.6430283
石碇區,25.0182514,121.6421727
石碇區,25.0205255,121.641376
石碇區,25.0217056,121.6409683
石碇區,25.0224336,121.6406641
石碇區,25.0226712,121.6405606
坪林區,24.872988,121.7760926
坪林區,24.8776855,121.7711681
坪林區,24.8803976,121.7687488
坪林區,24.8838719,121.7661417
坪林區,24.8891837,121.7624724
坪林區,24.8924893,121.7601979
坪林區,24.8951575,121.7582935
坪林區,24.8961829,121.7574513
坪林區,24.8979881,121.7558956
坪林區,24.8999211,121.754061
坪林區,24.9015636,121.7522746
坪林區,24.9033701,121.7500967
坪林區,24.9056989,121.7471107
坪林區,24.9088812,121.7429566
坪林區,24.9105415,121.7407519
坪林區,24.9132763,121.7372059
坪林區,24.9157135,121.7341214
坪林區,24.9171017,121.7324853
坪林區,24.918661,121.7309027
坪林區,24.9206433,121.7290038
坪林區,24.9226464,121.7273248
坪林區,24.9252748,121.7254257
坪林區,24.9278927,121.7237091
坪林區,24.9294591,121.7227221
坪林區,24.9312198,121.7215419
坪林區,24.9322595,121.7208767
坪林區,24.932789,121.7204959
坪林區,24.9332319,121.7200935
坪林區,24.9337214,121.7196697
坪林區,24.9345174,121.7188328
坪林區,24.9360251,121.7171001
坪林區,24.9364328,121.7166495
坪林區,24.9367762,121.7163062
坪林區,24.9371409,121.7159629
坪林區,24.9375701,121.7155552
坪林區,24.9381924,121.7150187
坪林區,24.9386207,121.7147378
坪林區,24.9412197,121.7130118
坪林區,24.9428386,121.7120238
坪林區,24.9438143,121.7114139
坪林區,24.9440932,121.7112207
淡水區,25.1574231,121.4585914
淡水區,25.1578213,121.4583607
淡水區,25.1584078,121.4579975
淡水區,25.1586403,121.4578592
淡水區,25.1598615,121.4571124
淡水區,25.1603779,121.4568075
淡水區,25.1606938,121.4566429
淡水區,25.1608065,121.4565816
淡水區,25.1610958,121.4564526
淡水區,25.1613703,121.456356
淡水區,25.1616082,121.4563064
淡水區,25.1619043,121.4562969
淡水區,25.1621496,121.4562903
淡水區,25.1625101,121.4563104
淡水區,25.1628985,121.4563855
淡水區,25.1630976,121.4564418
淡水區,25.1632821,121.456533
淡水區,25.1634945,121.4566524
淡水區,25.1636814,121.4567945
淡水區,25.163906,121.456997
淡水區,25.1643525,121.4574679
鶯歌區,24.954714,121.3324384
鶯歌區,24.955307,121.3309345
鶯歌區,24.9556167,121.3300293
鶯歌區,24.9557836,121.329443
鶯歌區,24.9558262,121.3292164
鶯歌區,24.955846,121.3291096
鶯歌區,24.9558457,121.3289991
鶯歌區,24.9558252,121.328904
鶯歌區,24.9557848,121.3287963
鶯歌區,24.9555219,121.3284472
鶯歌區,24.973077,121.3249224
鶯歌區,24.9728406,121.3251783
鶯歌區,24.9726596,121.3253742
鶯歌區,24.9723705,121.3256872
鶯歌區,24.9722512,121.3258164
鶯歌區,24.9720077,121.3260799
鶯歌區,24.9718837,121.3262141
鶯歌區,24.9661442,121.3290477
鶯歌區,24.9662783,121.3292854
鶯歌區,24.9663919,121.3294561
鶯歌區,24.9666729,121.3298263
鶯歌區,24.9670199,121.3302833
鶯歌區,24.9675167,121.3308408
鶯歌區,24.9675594,121.3308959
鶯歌區,24.9555211,121.3285367
鶯歌區,24.9556874,121.3287681
鶯歌區,24.9557422,121.3288538
鶯歌區,24.9557647,121.3289267
鶯歌區,24.955787,121.3290073
鶯歌區,24.9557868,121.3290869
鶯歌區,24.9557718,121.3291968
鶯歌區,24.9557424,121.3293667
鶯歌區,24.9555636,121.3300118
鶯歌區,24.9552511,121.3309117
鶯歌區,24.9546784,121.3324277
鶯歌區,24.9392687,121.3322744
鶯歌區,24.9395714,121.3303527
鶯歌區,24.9396772,121.3287957
鶯歌區,24.9396639,121.3274915
鶯歌區,24.9395683,121.326377
鶯歌區,24.939432,121.3253981
鶯歌區,24.9392236,121.3244443
鶯歌區,24.9387769,121.3228187
鶯歌區,24.9382012,121.3213754
鶯歌區,24.9379701,121.3208524
鶯歌區,24.9374836,121.3199356
鶯歌區,24.9370726,121.3192462
鶯歌區,24.9366982,121.3186905
鶯歌區,24.9363673,121.3182211
鶯歌區,24.935881,121.3176033
汐止區,25.0473816,121.6260598
汐止區,25.0477503,121.6262468
汐止區,25.0481494,121.6264608
汐止區,25.0486378,121.6267578
汐止區,25.0490679,121.6270448
汐止區,25.0494823,121.6273299
汐止區,25.0500682,121.6278727
永和區,25.0158266,121.5160726
永和區,25.0156009,121.5160021
永和區,25.0154483,121.5159494
永和區,25.0151748,121.5158628
永和區,25.0149558,121.5157934
三重區,25.050993,121.4828552
三重區,25.0484954,121.4776787
三重區,25.0483567,121.4773912
三重區,25.0521048,121.4866277
三重區,25.0519144,121.4869872
三重區,25.0517175,121.4872899
三重區,25.0499685,121.4907784
三重區,25.0505749,121.4896531
三重區,25.0509707,121.4889014
新店區,24.972986,121.5279527
新店區,24.9732772,121.5275999
新店區,24.9734759,121.5274036
新店區,24.9736537,121.5272168
新店區,24.9740001,121.5268401
新店區,24.974563,121.5262498
新店區,24.9748587,121.5259426
新店區,24.9750145,121.5257834
中和區,24.9900046,121.5272693
中和區,24.9900593,121.5270802
中和區,24.9929144,121.5085285
中和區,24.9928816,121.5088428
中和區,24.9927767,121.5095851
中和區,24.992736,121.5098765
中和區,24.9926796,121.5104109
中和區,24.9926562,121.5105856
板橋區,25.0112708,121.4785588
板橋區,25.0116606,121.4778017
板橋區,25.0118958,121.4773236
板橋區,25.012041,121.4770666
板橋區,25.0121946,121.4768002
板橋區,25.0113237,121.4783399
板橋區,25.011717,121.4775375
板橋區,25.0118467,121.4772641
板橋區,25.0120312,121.4769365
板橋區,25.0121863,121.4766855
板橋區,25.0125092,121.4762652
板橋區,25.0129962,121.475736
板橋區,25.0139196,121.4748375
板橋區,25.0143337,121.4744407
板橋區,25.0149964,121.4738605
板橋區,25.0157803,121.4733022
板橋區,25.0164912,121.4727577
板橋區,25.0183482,121.4713603
新店區,24.9947676,121.5351971
新莊區,25.0231785,121.4140917
新莊區,25.0231306,121.4140043
新莊區,25.0229382,121.4136535
新莊區,25.0227041,121.4132275
新莊區,25.0347684,121.4540543
新莊區,25.0352805,121.4538094
新莊區,25.0354935,121.4537561
新莊區,25.0356914,121.4537092
新莊區,25.0359685,121.4536965
新莊區,25.0361927,121.4537073
新莊區,25.0363598,121.4537154
新莊區,25.0346763,121.454106
新莊區,25.034639,121.4541002
新莊區,25.0336721,121.4545921
