town,latitude,longitude
馬公市,23.5699649,119.5819947
馬公市,23.5697958,119.5825232
馬公市,23.5697658,119.5826171
馬公市,23.5695626,119.5838772
馬公市,23.5694408,119.5846824
馬公市,23.5692001,119.5861643
馬公市,23.5691126,119.586703
馬公市,23.5689672,119.5876431
馬公市,23.568971,119.5880249
馬公市,23.5690788,119.5897502
馬公市,23.5690825,119.5898374
馬公市,23.5690849,119.5898963
馬公市,23.5691156,119.590551
馬公市,23.5690953,119.5912104
馬公市,23.5690488,119.5919235
馬公市,23.5689946,119.5922488
馬公市,23.5688505,119.593257
馬公市,23.5688329,119.5934561
馬公市,23.5688359,119.5939399
馬公市,23.5688665,119.594204
馬公市,23.5688954,119.5944541
馬公市,23.5689284,119.594966
馬公市,23.5689246,119.5953072
馬公市,23.5688765,119.5958275
馬公市,23.5688171,119.5967108
馬公市,23.5688322,119.5971274
馬公市,23.5307533,119.6005605
馬公市,23.5294516,119.5994865
馬公市,23.5280504,119.5976906
馬公市,23.5266705,119.5966515
馬公市,23.5264237,119.5964136
馬公市,23.5262468,119.5961915
馬公市,23.5261425,119.5959756
馬公市,23.5260684,119.5956898
馬公市,23.5260372,119.5954103
馬公市,23.5260287,119.5953335
馬公市,23.5260061,119.5949
馬公市,23.5260875,119.5943506
馬公市,23.5264616,119.5933671
馬公市,23.5264941,119.5932391
馬公市,23.5265808,119.592898
馬公市,23.5268545,119.5918215
馬公市,23.5271598,119.5907984
馬公市,23.5274181,119.5899328
馬公市,23.5274051,119.5895408
馬公市,23.5273128,119.5893017
馬公市,23.5271945,119.5890664
馬公市,23.5268707,119.5886125
馬公市,23.5267897,119.588499
馬公市,23.5254158,119.5865732
馬公市,23.5253741,119.5865148
馬公市,23.5240302,119.5846216
馬公市,23.5237726,119.5842587
馬公市,23.5233819,119.5838191
馬公市,23.5229368,119.5835043
馬公市,23.5219152,119.5830188
馬公市,23.5213598,119.5826471
馬公市,23.5209163,119.5820699
馬公市,23.5207728,119.5817949
馬公市,23.520682,119.5813707
馬公市,23.5205934,119.5810156
