town,latitude,longitude
恆春鎮,21.9079168,120.848791
恆春鎮,21.9081253,120.8486992
恆春鎮,21.9084228,120.8486237
恆春鎮,21.9091915,120.8484971
恆春鎮,21.9105373,120.8482719
恆春鎮,21.9110245,120.8481904
恆春鎮,21.9120775,120.8480142
恆春鎮,21.9124489,120.847952
恆春鎮,21.9128932,120.8478772
恆春鎮,21.913559,120.8477652
恆春鎮,21.9138365,120.8477051
恆春鎮,21.9139407,120.8476732
恆春鎮,21.9140805,120.847618
恆春鎮,21.9142268,120.8475322
恆春鎮,21.9143737,120.8474423
恆春鎮,21.9145068,120.8473216
恆春鎮,21.9146331,120.8471882
恆春鎮,21.9147475,120.8470588
恆春鎮,21.9148682,120.8468677
恆春鎮,21.9149696,120.846643
恆春鎮,21.9150854,120.8463332
恆春鎮,21.9152197,120.8458994
恆春鎮,21.9152869,120.8456661
恆春鎮,21.915318,120.8455199
恆春鎮,21.9153665,120.8452684
恆春鎮,21.9153703,120.8448108
恆春鎮,21.9153765,120.8441281
恆春鎮,21.9154028,120.843398
恆春鎮,21.9154667,120.8428043
恆春鎮,21.9155215,120.8423523
恆春鎮,21.9155985,120.8420412
恆春鎮,21.9156757,120.8417918
恆春鎮,21.9158387,120.8414283
恆春鎮,21.9160717,120.8408544
恆春鎮,21.9162851,120.8402067
林邊鄉,22.4455085,120.5056654
林邊鄉,22.4451652,120.5059738
林邊鄉,22.4446168,120.5064312
林邊鄉,22.4441189,120.506848
林邊鄉,22.4414136,120.5091165
林邊鄉,22.441389,120.5091443
枋山鄉,22.1947298,120.6920153
枋山鄉,22.1947664,120.6921115
枋山鄉,22.1948254,120.6922027
枋山鄉,22.1950022,120.6923995
枋山鄉,22.1952163,120.6925192
枋山鄉,22.1954521,120.6926874
枋山鄉,22.1956779,120.6928394
枋山鄉,22.1961217,120.6931839
枋山鄉,22.1963949,120.6934276
枋山鄉,22.1965848,120.6936736
枋山鄉,22.1968404,120.6940785
枋山鄉,22.1969749,120.6943075
枋山鄉,22.1970716,120.6944722
枋山鄉,22.1972708,120.6947456
枋山鄉,22.1976615,120.6951681
枋山鄉,22.1985564,120.6959288
枋山鄉,22.1990278,120.6963357
枋山鄉,22.1993507,120.696614
枋山鄉,22.2001619,120.6973844
枋山鄉,22.2006659,120.6978628
枋山鄉,22.2014966,120.6986876
枋山鄉,22.2023807,120.6995261
枋山鄉,22.203501,120.7004492
枋山鄉,22.2039039,120.7008215
枋山鄉,22.2041206,120.7010675
枋山鄉,22.2041569,120.7011092
枋山鄉,22.2042139,120.7011749
枋山鄉,22.2043212,120.7013611
枋山鄉,22.2043745,120.7015504
枋山鄉,22.204401,120.7017288
枋山鄉,22.2043956,120.7019062
枋山鄉,22.2043789,120.7020554
枋山鄉,22.2043374,120.7022417
枋山鄉,22.2042654,120.7024257
枋山鄉,22.2041206,120.702738
枋山鄉,22.2040494,120.7029302
枋山鄉,22.2039563,120.7032185
枋山鄉,22.2039197,120.7033643
枋山鄉,22.2039054,120.703539
枋山鄉,22.2039265,120.7037794
枋山鄉,22.2040141,120.7040272
枋山鄉,22.2040947,120.7041778
枋山鄉,22.2042048,120.7043281
枋山鄉,22.2044578,120.7046496
枋山鄉,22.2052481,120.7055297
枋山鄉,22.2058993,120.7061984
枋山鄉,22.2062267,120.7064637
里港鄉,22.797076,120.4633984
里港鄉,22.7971106,120.4641856
里港鄉,22.7971835,120.4651311
里港鄉,22.7972342,120.4655817
里港鄉,22.7973381,120.4663542
