town,latitude,longitude
清水區,24.3059597,120.5975182
清水區,24.306297,120.5994293
清水區,24.3065415,120.6009072
清水區,24.3067713,120.6024924
清水區,24.3068886,120.6033453
清水區,24.3069977,120.6042009
清水區,24.3072709,120.6074606
清水區,24.3073846,120.6094628
清水區,24.3074225,120.6106443
清水區,24.307442,120.6121906
清水區,24.3074243,120.6136907
清水區,24.3074231,120.6141667
清水區,24.3074084,120.6147689
清水區,24.3073516,120.6162502
清水區,24.3072734,120.6174746
清水區,24.3072074,120.6182511
清水區,24.3071402,120.6188492
清水區,24.3069132,120.6205733
清水區,24.3066327,120.6220896
清水區,24.3038113,120.5964591
清水區,24.3038877,120.5963039
清水區,24.3128967,120.6040869
清水區,24.3136654,120.6043253
清水區,24.3143828,120.6045264
大甲區,24.3158237,120.6049609
大甲區,24.3187593,120.6058822
大甲區,24.32168,120.6067783
大甲區,24.324606,120.6076583
大甲區,24.3251527,120.6078193
清水區,24.2962892,120.5910948
清水區,24.2953755,120.5901865
清水區,24.2946251,120.5894899
清水區,24.2941947,120.589179
清水區,24.2938109,120.5889159
清水區,24.2934378,120.5886763
清水區,24.2931184,120.5884793
清水區,24.2926177,120.5882138
清水區,24.2886348,120.5859519
清水區,24.2884876,120.58587
清水區,24.2881416,120.5856776
清水區,24.2880419,120.5856174
梧棲區,24.2507692,120.5559092
梧棲區,24.2509082,120.5559601
梧棲區,24.2533588,120.5570791
梧棲區,24.2535576,120.5571723
梧棲區,24.2554356,120.55798
梧棲區,24.2567756,120.5585775
梧棲區,24.2568647,120.5586238
梧棲區,24.2570142,120.5586996
清水區,24.2581791,120.5592229
大甲區,24.3493018,120.6170619
大甲區,24.3492589,120.6171477
清水區,24.3115278,120.6035248
清水區,24.3121596,120.60386
大甲區,24.324637,120.6075484
大甲區,24.3217142,120.6066533
大甲區,24.31878,120.6057763
大甲區,24.3158383,120.6048644
清水區,24.3144146,120.6044366
清水區,24.3136935,120.6041951
清水區,24.3129117,120.6039487
清水區,24.3121792,120.6037098
清水區,24.3115227,120.6033538
大甲區,24.3390141,120.6182956
大甲區,24.3393479,120.6183465
大甲區,24.3397881,120.6183699
大甲區,24.3402338,120.6183056
大甲區,24.3407895,120.6181641
大甲區,24.3687202,120.6436339
大甲區,24.37037,120.6446948
大甲區,24.3724076,120.6459642
大甲區,24.3765438,120.6485666
大甲區,24.3416085,120.6179576
大甲區,24.3421472,120.6178134
大甲區,24.3435713,120.6174466
大甲區,24.3444205,120.6172448
大甲區,24.3449044,120.6172059
大甲區,24.3450498,120.6171925
大甲區,24.3458062,120.6171965
大甲區,24.346147,120.6171945
大甲區,24.3469626,120.6171891
大甲區,24.3737052,120.6647607
大甲區,24.3704177,120.6640984
大甲區,24.3684584,120.6636928
大甲區,24.3671368,120.6634216
大甲區,24.3650439,120.6629965
外埔區,24.3606093,120.6621323
外埔區,24.3587041,120.6616825
外埔區,24.3570208,120.6612139
外埔區,24.354409,120.6603827
外埔區,24.3541935,120.6603455
大甲區,24.3922764,120.6685683
大甲區,24.3906252,120.668277
大甲區,24.3909779,120.6683368
后里區,24.3482153,120.7274766
后里區,24.3449481,120.7247166
后里區,24.3438436,120.7238527
后里區,24.3429731,120.723256
后里區,24.341826,120.7224611
后里區,24.3406808,120.7217396
后里區,24.3394568,120.7210398
后里區,24.3386011,120.7205476
外埔區,24.3235571,120.62272
外埔區,24.321465,120.6215613
外埔區,24.3211008,120.621399
外埔區,24.3203076,120.621065
外埔區,24.319275,120.6206506
外埔區,24.3184843,120.6203368
外埔區,24.3175433,120.6199573
外埔區,24.3166315,120.6196073
清水區,24.3145735,120.618643
外埔區,24.3198519,120.6679154
外埔區,24.3198766,120.6677975
清水區,24.2818498,120.5813523
清水區,24.2819549,120.5815111
清水區,24.2824907,120.5822904
清水區,24.283044,120.5827867
沙鹿區,24.2440969,120.6150995
沙鹿區,24.2444841,120.6139054
沙鹿區,24.2447844,120.6129684
沙鹿區,24.2449223,120.612538
沙鹿區,24.2456804,120.6101917
沙鹿區,24.2457513,120.6100178
沙鹿區,24.2459054,120.609672
沙鹿區,24.2465959,120.6081786
沙鹿區,24.2467532,120.6077882
沙鹿區,24.247063,120.6070431
沙鹿區,24.2474116,120.6062314
沙鹿區,24.2476106,120.6057647
沙鹿區,24.2480814,120.6046865
沙鹿區,24.2483324,120.6041303
沙鹿區,24.2485962,120.6035728
沙鹿區,24.2490483,120.6025565
沙鹿區,24.2496242,120.6013227
沙鹿區,24.2498822,120.6007447
清水區,24.3014577,120.6058072
清水區,24.302036,120.6063542
清水區,24.302981,120.6073798
清水區,24.3034022,120.6079109
清水區,24.3038709,120.6085511
清水區,24.3043992,120.6093093
清水區,24.3045015,120.609489
清水區,24.3054994,120.6109006
清水區,24.3069416,120.6127756
清水區,24.3077114,120.6136742
清水區,24.3086948,120.6147015
清水區,24.3093377,120.6152956
清水區,24.309927,120.6157997
清水區,24.3107393,120.6164633
清水區,24.3112883,120.6168771
清水區,24.3114056,120.6170139
清水區,24.3015596,120.6057051
清水區,24.3003765,120.604706
清水區,24.3000024,120.6044107
清水區,24.2992308,120.6039229
清水區,24.2985154,120.6035027
清水區,24.2979124,120.6031835
清水區,24.2971228,120.6028544
清水區,24.2961935,120.6025411
清水區,24.295289,120.6022728
清水區,24.2942967,120.6020489
清水區,24.293265,120.6018719
清水區,24.2922431,120.6017163
清水區,24.2914364,120.6016251
清水區,24.2904992,120.6015332
清水區,24.2895897,120.601442
清水區,24.2885849,120.6013347
清水區,24.2881094,120.6012704
清水區,24.2875838,120.6011886
清水區,24.2862534,120.6009357
清水區,24.2852999,120.6006541
清水區,24.2847132,120.6004208
清水區,24.3050262,120.6276788
清水區,24.304162,120.6298349
清水區,24.3033285,120.6316642
清水區,24.30216,120.6340352
清水區,24.301335,120.6356204
清水區,24.2992485,120.639295
清水區,24.2984773,120.6405436
