town,latitude,longitude
安定區,23.1028419,120.2072712
安定區,23.1027106,120.2073362
永康區,23.0235505,120.2180766
永康區,23.0235499,120.2181071
永康區,23.0235217,120.2181887
永康區,23.0227996,120.2193711
永康區,23.0227195,120.2194911
永康區,23.0219451,120.2207063
永康區,23.0218303,120.2208863
永康區,23.021752,120.2210092
永康區,23.0217264,120.2210493
永康區,23.0217057,120.2210828
永康區,23.0214519,120.2214939
永康區,23.0213715,120.2216226
永康區,23.0209304,120.2223193
永康區,23.0196275,120.2244181
永康區,23.0188139,120.2257126
新市區,23.1036379,120.2479751
新市區,23.1024824,120.2482385
新市區,23.1013022,120.2484855
新市區,23.100294,120.2487025
新市區,23.0994072,120.2488642
新市區,23.0988894,120.2489653
新市區,23.0960653,120.2495392
新市區,23.0951985,120.2497177
新市區,23.094204,120.2499054
新市區,23.0907395,120.250581
新市區,23.0898692,120.2507263
新市區,23.0890031,120.2508577
新市區,23.0872851,120.2511212
新市區,23.0855801,120.2513506
新市區,23.0851496,120.2514098
新市區,23.0802179,120.2520564
新市區,23.0788224,120.2522108
新市區,23.0776304,120.2523426
安定區,23.1174466,120.243556
安定區,23.1163675,120.2439795
南區,22.9645748,120.2163841
南區,22.9644235,120.2164176
南區,22.9636179,120.2165962
南區,22.9631582,120.2167003
南區,22.9627767,120.2167241
南區,22.9619587,120.2167294
南區,22.9615328,120.2167756
南區,22.9156814,120.1771057
南區,22.9159602,120.1770925
南區,22.9163081,120.1770553
南區,22.9166505,120.1769939
南區,22.9169834,120.176903
南區,22.9172267,120.1768368
南區,22.9174961,120.1767498
南區,22.9179827,120.176582
南區,22.9184492,120.1764274
南區,22.9195286,120.1760138
南區,22.9204995,120.1756549
南區,22.9208278,120.1755476
南區,22.9210828,120.1754881
南區,22.9214528,120.1754217
南區,22.9217591,120.1753862
南區,22.922554,120.1753711
南區,22.9231438,120.1754333
南區,22.923759,120.175568
南區,22.9252211,120.1758796
南區,22.9273608,120.1763629
南區,22.9274192,120.1763761
南區,22.9277473,120.1764462
南區,22.9282667,120.1765575
南區,22.9290041,120.1766718
南區,22.9295644,120.1766993
南區,22.9301689,120.1766975
南區,22.9331187,120.1766661
中西區,22.9968342,120.2120971
中西區,22.9970826,120.2121527
六甲區,23.2597594,120.3125704
六甲區,23.2592211,120.3125269
六甲區,23.2590903,120.3125158
六甲區,23.2580098,120.3124237
六甲區,23.256971,120.3123307
六甲區,23.2551795,120.3121831
六甲區,23.2550965,120.3121766
六甲區,23.2545567,120.3121469
六甲區,23.2541722,120.3121696
六甲區,23.2535531,120.3122837
六甲區,23.2533955,120.3123053
官田區,23.1644267,120.3409177
官田區,23.1650503,120.3408466
官田區,23.165152,120.3408312
官田區,23.165565,120.3407665
官田區,23.1661343,120.3407002
官田區,23.1665153,120.340631
官田區,23.1666749,120.340574
官田區,23.1668569,120.340475
官田區,23.1674823,120.3401605
官田區,23.1682937,120.3397422
官田區,23.168857,120.3394653
官田區,23.1695252,120.3391829
官田區,23.1704234,120.3387251
官田區,23.1708194,120.3385495
官田區,23.1710841,120.3384385
官田區,23.1713299,120.3383495
官田區,23.1715927,120.3382775
官田區,23.1718517,120.3382317
官田區,23.1721286,120.338212
官田區,23.1723802,120.3382079
官田區,23.1735656,120.3383341
仁德區,22.9299995,120.2215252
仁德區,22.9293307,120.2203762
仁德區,22.9289424,120.2196931
仁德區,22.9286623,120.2191393
仁德區,22.9284977,120.2187696
仁德區,22.9282862,120.2182589
永康區,23.0211661,120.2221209
永康區,23.0211885,120.2220865
永康區,23.0213474,120.2218425
永康區,23.021453,120.2216768
永康區,23.0188704,120.2257528
永康區,23.0196872,120.224458
永康區,23.0209935,120.2223882
永康區,23.04368,120.2592517
永康區,23.0447682,120.2605566
永康區,23.0457343,120.2617921
永康區,23.0465321,120.2627469
新市區,23.0637935,120.2841065
新市區,23.0638939,120.2845218
新市區,23.0639556,120.2848678
新市區,23.0640407,120.2853372
新市區,23.0641654,120.2858065
新市區,23.0643415,120.2862401
新市區,23.0644964,120.2865742
新市區,23.06467,120.2868526
新市區,23.0650378,120.2873503
新市區,23.0660458,120.2887276
新市區,23.0662156,120.288952
新市區,23.0663564,120.2890811
新市區,23.0673676,120.2904541
新市區,23.0675438,120.2907058
柳營區,23.2737965,120.3247794
柳營區,23.2739763,120.3248897
柳營區,23.2743451,120.3250633
柳營區,23.2747637,120.3251903
柳營區,23.274883,120.3252129
柳營區,23.2750096,120.3252275
柳營區,23.2751474,120.3252353
柳營區,23.2756858,120.3252401
柳營區,23.2775854,120.3252658
柳營區,23.2791034,120.3252961
柳營區,23.279147,120.3252969
柳營區,23.2791845,120.3252977
柳營區,23.2725746,120.3224673
柳營區,23.272691,120.3228296
後壁區,23.3697495,120.3630061
後壁區,23.370278,120.3634112
後壁區,23.3705226,120.3635337
後壁區,23.3707453,120.3635932
後壁區,23.3709939,120.3636234
後壁區,23.3716427,120.363619
後壁區,23.3720747,120.3636206
後壁區,23.3723325,120.3636464
後壁區,23.3725334,120.3637264
後壁區,23.3727351,120.3638566
後壁區,23.3736906,120.3646839
後壁區,23.4025893,120.3818923
新營區,23.2826532,120.2750445
新營區,23.2822503,120.2752306
新營區,23.2817731,120.2754298
新營區,23.2815828,120.2754531
新營區,23.2813173,120.2754242
新營區,23.280939,120.2753046
新營區,23.2805104,120.2751935
新營區,23.2800944,120.2751714
新營區,23.2800432,120.2751689
新營區,23.2799537,120.2751783
新營區,23.2781273,120.2754388
新營區,23.2769221,120.2756354
新營區,23.2761991,120.2757546
新營區,23.2755798,120.2758306
新營區,23.2753203,120.275874
新營區,23.2747885,120.2759711
新營區,23.2744006,120.2760422
新營區,23.2743564,120.2760452
新營區,23.273391,120.2761568
新營區,23.2733222,120.2761524
新營區,23.2726627,120.2761789
新營區,23.2719745,120.2762597
新營區,23.270242,120.2764689
新營區,23.2962342,120.2830852
新營區,23.2958611,120.2828852
新營區,23.2925634,120.2812584
新營區,23.2892965,120.2796856
新營區,23.2872738,120.2785321
新營區,23.2853453,120.277237
新營區,23.2830086,120.2754354
新營區,23.2807296,120.2733595
新營區,23.2763702,120.2688966
新營區,23.2749594,120.2675386
新營區,23.2730104,120.2660647
新市區,23.0688639,120.2927274
新市區,23.0676313,120.2906698
永康區,23.0421036,120.256666
永康區,23.0420727,120.2563575
永康區,23.0420295,120.2547965
永康區,23.0420306,120.2546532
永康區,23.0420622,120.2544853
永康區,23.0420499,120.254193
永康區,23.043759,120.2591726
永康區,23.0436159,120.2590746
永康區,23.042602,120.2578392
永康區,23.0424646,120.2576443
永康區,23.0423157,120.2573689
永康區,23.0422152,120.2571191
永康區,23.0421531,120.256867
善化區,23.1668579,120.2668246
麻豆區,23.1724459,120.2593308
麻豆區,23.1734607,120.2579532
麻豆區,23.1741309,120.2570306
麻豆區,23.1745806,120.2564633
麻豆區,23.175231,120.2557639
善化區,23.1539507,120.286726
善化區,23.154138,120.2865891
善化區,23.1548266,120.2855272
善化區,23.1549914,120.285273
善化區,23.1556358,120.2842455
善化區,23.1566939,120.282592
善化區,23.1567574,120.2824964
善化區,23.1568861,120.2822888
善化區,23.156992,120.2821257
新市區,23.0642604,120.2857596
新市區,23.0641395,120.2853009
新市區,23.0640519,120.2847779
新市區,23.0639865,120.2844775
新市區,23.0639019,120.284104
新市區,23.0637705,120.2836433
新市區,23.0636706,120.283418
新市區,23.0635521,120.2832209
新市區,23.0634189,120.283068
新市區,23.0626655,120.2822265
新市區,23.0623367,120.2818771
南區,22.9156187,120.1769967
南區,22.9153021,120.1770127
東區,22.972397,120.2150576
東區,22.9729379,120.217473
東區,22.9734204,120.2199051
東區,22.973506,120.2203457
東區,22.9736919,120.221178
東區,22.9737592,120.2215117
東區,22.9737754,120.2215875
