town,latitude,longitude
大同區,25.0535468,121.5141978
大同區,25.0534056,121.5141678
大同區,25.0528585,121.5140542
大同區,25.052315,121.5139815
大同區,25.051712,121.5138746
大同區,25.0515788,121.513851
大同區,25.0515182,121.513833
大同區,25.051241,121.5137505
大同區,25.0506192,121.5135594
大同區,25.0502835,121.5134602
大同區,25.049556,121.5132735
內湖區,25.0658319,121.6149665
內湖區,25.0655285,121.6122662
內湖區,25.0653248,121.6106598
大同區,25.0532381,121.5176005
大同區,25.0531435,121.5175721
大同區,25.0528454,121.5174874
大同區,25.0523806,121.5173593
大同區,25.0519382,121.5172374
大同區,25.0518658,121.5172175
大同區,25.0515218,121.5171227
大同區,25.0509828,121.5169742
大同區,25.0509118,121.5169549
中正區,25.0456033,121.5195342
中正區,25.0454621,121.5194938
中正區,25.0446479,121.519261
中正區,25.0446233,121.519254
中正區,25.0445316,121.5192278
大安區,25.0210372,121.5434068
大安區,25.0212164,121.5434109
大安區,25.0213272,121.5434135
大安區,25.0214977,121.5434174
北投區,25.121289,121.4987971
北投區,25.1212913,121.4986227
北投區,25.1213529,121.4979234
北投區,25.1214359,121.4967577
北投區,25.1214679,121.4963601
北投區,25.1215445,121.49509
中正區,25.0226639,121.5168404
中正區,25.0227523,121.5168534
中正區,25.0230911,121.5169028
中正區,25.0231419,121.5169055
中正區,25.023341,121.516907
中正區,25.0235782,121.5169045
中正區,25.0238184,121.5168767
中正區,25.0238974,121.5168654
中正區,25.0241008,121.5168312
中正區,25.0243067,121.5167846
中正區,25.024516,121.5167363
中正區,25.0246286,121.5167081
中正區,25.024794,121.5166651
中正區,25.0250209,121.5166031
中正區,25.0252997,121.516529
中正區,25.0255625,121.5164564
中正區,25.0256692,121.5164306
中正區,25.0257352,121.516413
中正區,25.0260096,121.516342
中正區,25.0262053,121.516289
中正區,25.0262685,121.5162702
中正區,25.0266814,121.5161652
中正區,25.0269848,121.5160954
中正區,25.027173,121.5160433
中正區,25.0297969,121.5153159
中正區,25.0298597,121.5152874
中正區,25.0301041,121.5151987
中正區,25.0303471,121.5151021
中正區,25.0306785,121.5149704
中正區,25.030955,121.5148692
中正區,25.0314328,121.514674
中正區,25.0319251,121.5144699
中正區,25.0320148,121.5143977
中正區,25.0323888,121.5141686
中正區,25.0326785,121.5139873
中正區,25.0332689,121.5136312
中正區,25.0335158,121.5134924
中正區,25.0337505,121.5133571
中正區,25.0343392,121.5129867
中正區,25.0344494,121.5129174
中正區,25.0345749,121.5128374
中正區,25.0348026,121.5127025
中正區,25.034925,121.512634
中正區,25.0350606,121.5125123
南港區,25.0238513,121.6019365
南港區,25.0229261,121.6010617
南港區,25.0220345,121.6003448
南港區,25.0215141,121.6000673
南港區,25.0208652,121.5996838
南港區,25.0203888,121.5994531
南港區,25.0193413,121.5990454
南港區,25.0187993,121.5988174
南港區,25.0176812,121.5984902
南港區,25.0168913,121.5982917
文山區,25.0136829,121.5974455
南港區,25.0155766,121.5982058
南港區,25.0171268,121.5985775
南港區,25.0181632,121.5989057
南港區,25.0187482,121.5991084
