town,latitude,longitude
桃園區,25.000786,121.3141254
桃園區,25.0009215,121.3141382
桃園區,24.9923878,121.3060231
桃園區,24.9925252,121.3060506
桃園區,24.9819451,121.3076763
桃園區,24.9831362,121.3075289
桃園區,24.9838041,121.3074659
桃園區,24.9844107,121.3074117
桃園區,24.9850507,121.3073545
桃園區,24.9748139,121.3024156
桃園區,24.9752055,121.3024055
桃園區,24.9752808,121.3024135
桃園區,24.9753903,121.302431
桃園區,24.9757088,121.3024994
桃園區,24.9759872,121.3025503
桃園區,24.9760625,121.3025772
桃園區,24.9761549,121.3026144
桃園區,24.9764698,121.3027906
桃園區,24.9765698,121.3028414
桃園區,24.9766109,121.3028664
桃園區,24.9772173,121.3032125
桃園區,24.9778271,121.3035835
桃園區,24.9779849,121.3036447
桃園區,24.9781345,121.3037291
桃園區,24.9782196,121.3037771
八德區,24.9641691,121.3004063
八德區,24.9645172,121.3004866
八德區,24.9646434,121.3005131
八德區,24.9649693,121.3005762
八德區,24.965103,121.3006084
八德區,24.9656014,121.3007022
八德區,24.9660229,121.3007948
八德區,24.9668096,121.3009624
八德區,24.9671846,121.3010402
八德區,24.9675597,121.301118
八德區,24.9679828,121.3011984
八德區,24.9682836,121.3012447
八德區,24.9689238,121.3013849
八德區,24.969531,121.3015163
八德區,24.969618,121.3015351
八德區,24.9697787,121.3015605
八德區,24.9698466,121.3015713
八德區,24.9699791,121.3015833
八德區,24.9701602,121.3015941
八德區,24.9705985,121.3016054
八德區,24.9708004,121.3016165
八德區,24.9709031,121.3016222
八德區,24.9710915,121.3016464
八德區,24.9712264,121.3016759
八德區,24.9715032,121.3017573
八德區,24.9718058,121.3018559
八德區,24.9719984,121.3019186
八德區,24.9725127,121.3020782
八德區,24.9727886,121.302163
八德區,24.97296,121.3022213
八德區,24.9730014,121.3022365
八德區,24.9734561,121.302388
八德區,24.9735959,121.3024215
八德區,24.9737333,121.3024376
八德區,24.9740372,121.3024336
八德區,24.9742487,121.3024209
八德區,24.9743813,121.3024175
大溪區,24.8918058,121.2789161
大溪區,24.8920073,121.2787687
大溪區,24.8921765,121.2786522
大溪區,24.8925231,121.2785525
大溪區,24.8926232,121.2785415
大溪區,24.8927194,121.2785538
大溪區,24.8929128,121.2785672
大溪區,24.8932255,121.2786409
大溪區,24.893369,121.2787114
大溪區,24.893498,121.2787898
大溪區,24.8937243,121.278991
大溪區,24.8940483,121.2793266
大溪區,24.8942522,121.279628
大溪區,24.8945649,121.2803026
大溪區,24.8949249,121.2810375
大溪區,24.8949882,121.2812534
大溪區,24.8950235,121.2816236
大溪區,24.8950928,121.2823209
大溪區,24.8952157,121.2827058
大溪區,24.8952948,121.2829995
大溪區,24.8953191,121.2831927
大溪區,24.8953495,121.2836795
大溪區,24.8953763,121.2839611
大溪區,24.8954103,121.2841274
大溪區,24.8955393,121.2843232
大溪區,24.8958215,121.2846732
大溪區,24.8960271,121.2848409
大溪區,24.8962278,121.2849535
大溪區,24.8965392,121.2851008
大溪區,24.8969416,121.2852549
大溪區,24.8971484,121.2852733
大溪區,24.8973496,121.2852487
大溪區,24.8975313,121.2851778
大溪區,24.8976164,121.285132
大溪區,24.8978834,121.284973
大溪區,24.8984624,121.2846571
大溪區,24.8985597,121.2845339
桃園區,24.9962881,121.3158507
桃園區,24.9962206,121.3158739
桃園區,24.995954,121.3159656
桃園區,25.0293874,121.3045537
桃園區,25.0284203,121.3049449
桃園區,25.0282351,121.3050205
桃園區,25.0281965,121.3050359
桃園區,25.0277104,121.3052292
桃園區,25.0273214,121.3053868
桃園區,25.0272428,121.3054187
桃園區,25.0266447,121.3056695
桃園區,25.0264654,121.3057447
桃園區,25.0261721,121.3058561
桃園區,25.0256817,121.3060657
桃園區,25.0256349,121.3060857
桃園區,25.0255884,121.3061056
桃園區,25.0255444,121.3061237
桃園區,25.0244035,121.3065926
桃園區,25.0241184,121.3067069
桃園區,25.0237472,121.3068557
八德區,24.9436776,121.3240376
八德區,24.9438929,121.324038
八德區,24.9451695,121.3241337
八德區,24.9459875,121.3242044
八德區,24.9463005,121.3242388
龜山區,25.0304468,121.3042138
龜山區,25.0305104,121.3041876
龜山區,25.0313782,121.3038312
龜山區,25.0315722,121.3037299
龜山區,25.0319235,121.3035761
龜山區,25.0320717,121.3035113
龜山區,25.0323967,121.3031332
龜山區,25.0322218,121.3032983
龜山區,25.0320015,121.3034498
龜山區,25.0313592,121.3037427
龜山區,25.0305526,121.3040752
龜山區,25.0305007,121.3040993
桃園區,25.0304372,121.3041202
桃園區,24.99185,121.3010034
桃園區,24.9917871,121.301011
桃園區,24.991736,121.3010349
桃園區,24.9916919,121.3010885
桃園區,24.9916346,121.3011937
桃園區,24.9916108,121.3012374
桃園區,24.9915281,121.3013956
蘆竹區,25.0369294,121.2981363
蘆竹區,25.0368038,121.2982557
蘆竹區,25.037741,121.2975264
蘆竹區,25.03733,121.2978267
蘆竹區,25.0411393,121.2955585
蘆竹區,25.0410662,121.2956383
蘆竹區,25.0407462,121.2958414
蘆竹區,25.0405053,121.2959438
蘆竹區,25.0394105,121.2964768
蘆竹區,25.0377843,121.2976578
蘆竹區,25.0380311,121.2974921
蘆竹區,25.0384384,121.297217
蘆竹區,25.0386673,121.2970716
蘆竹區,25.0412106,121.29572
蘆竹區,25.0412799,121.295658
蘆竹區,25.041364,121.2956056
蘆竹區,25.0419511,121.2952448
蘆竹區,25.0422574,121.2950735
蘆竹區,25.0431178,121.2945922
蘆竹區,25.0438529,121.2941776
蘆竹區,25.0438987,121.2941517
蘆竹區,25.0441899,121.2940001
蘆竹區,25.0447287,121.2937032
蘆竹區,25.0504396,121.2902581
蘆竹區,25.0502987,121.2903922
蘆竹區,25.0498623,121.2906478
蘆竹區,25.049628,121.2907784
蘆竹區,25.0488918,121.2911942
蘆竹區,25.0505295,121.290352
蘆竹區,25.0506094,121.290271
蘆竹區,25.0512971,121.2889789
蘆竹區,25.0515522,121.2884994
大園區,25.1074918,121.2438387
大園區,25.1071196,121.2442678
大園區,25.1063721,121.2450447
蘆竹區,25.0369268,121.2982964
蘆竹區,25.0375788,121.297791
桃園區,25.0146537,121.2767449
桃園區,25.0149581,121.2764956
桃園區,25.0161005,121.2756046
桃園區,25.016947,121.2749642
桃園區,25.0184623,121.2738658
大溪區,24.9085724,121.2879755
大溪區,24.9089803,121.2888276
大溪區,24.9092898,121.2894135
大溪區,24.9100769,121.2905911
大溪區,24.9108297,121.2915081
大溪區,24.9116561,121.2923243
大溪區,24.9120701,121.29267
大溪區,24.9125352,121.2930178
大溪區,24.9131173,121.2934281
大溪區,24.9137504,121.293803
大溪區,24.914542,121.2942469
大溪區,24.9159776,121.2949219
大溪區,24.9172411,121.2955897
大溪區,24.9185638,121.2964208
大溪區,24.9194346,121.2970715
龍潭區,24.879636,121.2501017
龍潭區,24.8792532,121.2500778
桃園區,24.9931164,121.3086944
桃園區,24.9938643,121.3099863
桃園區,24.9938846,121.3100214
桃園區,24.9939477,121.3101066
桃園區,24.9942912,121.3105703
桃園區,24.9945314,121.3109634
桃園區,24.991003,121.2949389
桃園區,24.9909702,121.2951106
桃園區,24.9909362,121.2953828
桃園區,24.9909289,121.2954485
桃園區,24.9909034,121.2957395
桃園區,24.9908985,121.2958374
桃園區,24.9908997,121.2959568
桃園區,24.9909252,121.2961854
桃園區,24.9911112,121.2968345
桃園區,24.9913287,121.2975426
桃園區,24.9913665,121.2976821
桃園區,24.9910681,121.2947991
桃園區,24.9910903,121.2946383
桃園區,24.9911492,121.2941906
桃園區,24.9911872,121.2938724
桃園區,24.9912188,121.2936578
桃園區,24.991264,121.2930898
桃園區,24.9912717,121.2928495
桃園區,24.9912796,121.2927016
桃園區,24.9912747,121.2925997
桃園區,24.9912188,121.2923167
桃園區,24.9911258,121.2919375
桃園區,24.9910662,121.2916854
桃園區,24.9909228,121.2910296
桃園區,24.990863,121.290733
桃園區,24.9908085,121.2905025
桃園區,24.9907016,121.2901713
桃園區,24.9906651,121.2900948
桃園區,24.9901692,121.2890501
桃園區,24.9899394,121.2885993
八德區,24.9867585,121.2822258
八德區,24.9868824,121.2824536
八德區,24.9661749,121.3289221
中壢區,24.9342432,121.2603307
八德區,24.9342162,121.2603869
八德區,24.9342004,121.2604198
桃園區,24.9747302,121.2644522
桃園區,24.9749074,121.2648938
桃園區,24.9754188,121.2661667
桃園區,24.9757151,121.2668661
八德區,24.9760647,121.2675356
八德區,24.9765189,121.2683257
桃園區,24.9868669,121.2821564
桃園區,24.9867666,121.2819516
桃園區,24.9866736,121.2817636
桃園區,24.9865401,121.2815761
八德區,24.9863144,121.2813037
八德區,24.986121,121.2810873
八德區,24.9860069,121.2809596
大溪區,24.9232256,121.2954849
大溪區,24.9231191,121.2953772
大溪區,24.9228343,121.2951932
大溪區,24.9225323,121.2949646
大溪區,24.9220672,121.2945538
大溪區,24.921551,121.2940978
大溪區,24.9206807,121.2933098
大溪區,24.9205469,121.2931877
大溪區,24.9202346,121.2929028
大溪區,24.9196654,121.2923854
