latitude,longitude
24.6237753,121.8101498
24.624285,121.8099098
24.625217,121.8094604
24.6262398,121.8089801
24.6272112,121.8086043
24.6281455,121.8082652
24.6300126,121.8076675
24.6309489,121.807402
24.6318809,121.8071303
24.6336894,121.806659
24.6345939,121.806423
24.6350498,121.8062969
24.635504,121.8061836
24.636481,121.8059241
24.6367199,121.8058543
24.6369674,121.8057846
24.6374529,121.8056538
24.6390732,121.8052972
24.6405559,121.8050254
24.6424939,121.8047922
24.6446059,121.8046933
24.6468101,121.8047192
24.6474612,121.8047396
24.6481397,121.804766
24.6493215,121.8048008
24.6510873,121.8048041
24.652041,121.8047324
24.6526951,121.8046564
24.6533405,121.8045555
24.6537726,121.8044821
24.6541881,121.8044032
24.6548962,121.8042509
24.6557045,121.8040006
24.6561091,121.8038746
24.6565166,121.8037209
24.6571037,121.8034776
24.6577134,121.8032114
24.6592747,121.8024054
24.6610103,121.8012829
24.6622742,121.8003991
24.6634747,121.7995623
24.6646386,121.7987884
24.6656958,121.7981473
24.6670135,121.7974677
24.6678554,121.7970839
24.6700812,121.796279
24.8477598,121.7910352
24.8471587,121.7908291
24.8466081,121.7906346
24.8463117,121.7904975
24.8461026,121.7903999
24.8455933,121.7901395
24.8448906,121.7897657
24.8443529,121.7895328
24.8439622,121.789379
24.8436492,121.7892856
24.8433542,121.7892115
24.8427613,121.7890918
24.842492,121.7890647
24.8478916,121.7914987
24.8491612,121.7916575
24.8504252,121.791687
24.8520827,121.7915636
24.8540568,121.791231
24.8568795,121.7902976
24.8580344,121.7897129
24.8594786,121.788978
24.8616922,121.7874438
24.8640721,121.7854911
24.8649422,121.7845524
24.8674692,121.7819828
24.8707615,121.7784905
24.8398064,121.7961169
24.8397182,121.7959057
24.8396452,121.7957421
24.8395575,121.7955758
24.8394145,121.7953659
24.8392758,121.7951527
24.8389801,121.7946645
24.8388401,121.7943285
24.8388154,121.7942309
24.8387413,121.7939379
24.8386865,121.7934265
24.8386613,121.7929751
24.8386448,121.7926451
24.8386066,121.7920482
24.8385649,121.7917077
24.8385195,121.7914358
24.8384394,121.7910644
24.838426,121.7910231
24.8384125,121.7909817
24.8410845,121.7901938
24.8411126,121.790187
24.8411905,121.7901836
24.8413445,121.790197
24.8414573,121.7902192
24.8415769,121.7902648
24.8427817,121.7909856
24.844264,121.7919002
24.8449614,121.7923214
24.8452242,121.7924783
24.8462404,121.7931153
24.8464875,121.7932668
