town,latitude,longitude
古坑鄉,23.6652362,120.5701858
古坑鄉,23.6652838,120.5698776
二崙鄉,23.8255165,120.3977149
二崙鄉,23.8248221,120.397617
二崙鄉,23.8242823,120.3975553
二崙鄉,23.8238517,120.3975231
二崙鄉,23.8234051,120.3974802
二崙鄉,23.823026,120.397444
二崙鄉,23.8222335,120.3973702
二崙鄉,23.8207318,120.3972308
二崙鄉,23.8181727,120.3969904
北港鎮,23.5645143,120.30165
北港鎮,23.5644678,120.3016425
元長鄉,23.6871098,120.3228659
元長鄉,23.6872863,120.321902
虎尾鎮,23.7061327,120.4757286
虎尾鎮,23.7080151,120.4759846
虎尾鎮,23.7099475,120.4761931
虎尾鎮,23.7113484,120.4762427
虎尾鎮,23.7119943,120.4762669
虎尾鎮,23.7134614,120.4762476
虎尾鎮,23.7154572,120.4761621
虎尾鎮,23.7168413,120.476055
虎尾鎮,23.7182002,120.4758936
虎尾鎮,23.7189863,120.4757734
虎尾鎮,23.7198894,120.4756505
虎尾鎮,23.7209004,120.4754571
北港鎮,23.5644497,120.3017604
北港鎮,23.5645059,120.3017704
北港鎮,23.5646927,120.3017262
北港鎮,23.5721755,120.3000596
北港鎮,23.5724909,120.2990348
北港鎮,23.572554,120.298803
北港鎮,23.5725774,120.2987603
北港鎮,23.5726919,120.2984106
北港鎮,23.5727276,120.2982978
北港鎮,23.5727748,120.2981482
虎尾鎮,23.716035,120.4399182
虎尾鎮,23.7160159,120.4399009
虎尾鎮,23.715953,120.4398445
虎尾鎮,23.715859,120.4397602
虎尾鎮,23.7155537,120.4394531
虎尾鎮,23.7152723,120.439217
虎尾鎮,23.714863,120.4388391
虎尾鎮,23.7148209,120.4388003
虎尾鎮,23.7147493,120.4387393
虎尾鎮,23.7140765,120.4381662
虎尾鎮,23.7137069,120.4378528
虎尾鎮,23.7136594,120.4378125
虎尾鎮,23.7136131,120.437769
虎尾鎮,23.7130458,120.4372358
虎尾鎮,23.7129338,120.4371305
虎尾鎮,23.7126216,120.4368505
虎尾鎮,23.712539,120.4367765
虎尾鎮,23.7124786,120.436726
虎尾鎮,23.7118526,120.4362025
