latitude,longitude
23.2829783,121.3401918
23.2831107,121.3402118
23.2846427,121.3403959
23.2853311,121.3404411
23.28578,121.3404296
23.2863287,121.3403472
23.286926,121.3402457
23.2874157,121.3401348
23.2876785,121.3400238
23.2878019,121.3399456
23.2880116,121.3397329
23.2882367,121.3394662
23.2884189,121.3392363
23.288765,121.3388122
23.289039,121.3385593
23.2891681,121.3384904
23.2893389,121.3384049
23.2895131,121.3383668
23.2897473,121.3383363
23.2901089,121.3383053
23.2902891,121.3382595
23.2904141,121.3382031
23.2905134,121.3381336
23.2905895,121.3380305
23.2906557,121.3378998
23.2906823,121.3377557
23.2906973,121.337482
23.2906999,121.3371791
23.2906618,121.3368275
23.2905767,121.3364029
23.2906022,121.3361658
23.290724,121.3358091
23.2907655,121.3357166
23.2909039,121.3354084
23.2910117,121.3351645
23.2910912,121.3350704
23.2912946,121.3349605
23.291636,121.3348444
23.2920456,121.334752
23.2928276,121.3346319
23.2953998,121.3343149
23.2957452,121.3342547
23.2958309,121.3342398
23.2969888,121.3340976
23.2971525,121.3340378
23.2972813,121.3339949
23.29737,121.333909
23.2974418,121.3337899
23.2974969,121.3336569
23.2682909,121.3607028
23.2682854,121.3606375
23.3238779,121.3240841
23.323809,121.3240023
23.3238684,121.3235737
23.3238725,121.3235503
23.3238992,121.323398
23.3239317,121.3232017
23.3240819,121.3223648
23.3241702,121.3219008
23.3242489,121.3214921
23.3243835,121.320793
23.3244204,121.3205289
23.3245035,121.3200984
23.3235828,121.3250112
23.3234913,121.3255495
23.323478,121.3256044
23.3232723,121.3268737
23.297469,121.3333379
23.2972931,121.3333285
23.2968065,121.3333225
23.2964255,121.3333035
23.2955181,121.3332581
23.2948381,121.3331777
23.2941459,121.3329792
23.2938946,121.332904
23.2935004,121.3327029
23.2932097,121.3325178
23.2929781,121.3323327
23.2927096,121.3321074
23.2922086,121.3316739
23.2919401,121.3314462
23.2915813,121.3311418
23.2912708,121.3308763
23.2910361,121.3306658
23.2906081,121.330254
23.2901597,121.3297739
23.2896588,121.3292363
23.2895073,121.3290738
23.2893049,121.3288566
23.2886782,121.328291
23.2874201,121.3273653
23.2866816,121.3269204
23.2856346,121.3262898
23.2853833,121.3260842
23.2846992,121.3255244
23.284149,121.3250741
23.2837319,121.3247635
23.2832999,121.3245075
23.2815646,121.3237642
23.2812211,121.3235847
23.2809863,121.3234274
23.2808893,121.3233476
23.2805604,121.323077
23.280111,121.3226711
23.2800749,121.3226358
23.9548049,121.5639723
23.9546355,121.5637021
23.9531656,121.5615702
23.9519937,121.5598238
23.9503602,121.5573888
23.9491783,121.5556592
23.9483217,121.5544056
23.9469817,121.5524446
23.9468529,121.5522626
23.946283,121.5514475
23.8847984,121.5141218
23.8857833,121.5144137
23.8858731,121.5144285
23.885981,121.5144352
23.8860698,121.5144247
23.8860967,121.5144195
23.8861723,121.5144084
23.8863133,121.5143494
23.8864052,121.5143024
23.8865409,121.5142226
23.8870123,121.5138403
23.8872587,121.5136882
23.8873924,121.5136413
23.8880263,121.5134146
23.8881673,121.5133489
23.8882579,121.5133091
23.8883646,121.5132204
23.888481,121.5130791
23.8885802,121.5129215
23.88864,121.5127826
23.8887296,121.5123375
23.8887734,121.512243
23.8888381,121.5121473
23.8889068,121.512036
23.8889544,121.5119706
23.8889595,121.5119635
23.8890833,121.5118616
23.8891765,121.5117677
23.889282,121.5116631
23.8893788,121.5115639
23.8894438,121.511466
23.8897671,121.5109454
23.8899697,121.5106899
23.8901012,121.5105241
23.3500794,121.3240117
23.347998,121.32311
23.3463848,121.3224092
23.3462087,121.3223335
23.3459305,121.3222415
23.3457098,121.3221694
23.3447525,121.3219249
23.3437114,121.3216467
23.3425219,121.3213209
23.3420256,121.3211788
23.3408173,121.3208328
23.3403727,121.3207067
23.3400756,121.3206337
23.3398398,121.3205758
23.3396917,121.3205576
23.3392307,121.320501
23.3387327,121.3204209
23.3381848,121.320344
23.3376351,121.3202797
23.3371181,121.3202102
23.3367951,121.320157
23.3365839,121.3201257
23.3365478,121.3201204
23.8156653,121.4710034
23.815528,121.471484
23.8154801,121.4719158
23.8154046,121.4726165
23.8153776,121.4729089
23.2573236,121.2979905
23.2578089,121.2981944
23.2579853,121.2982835
23.260941,121.2993255
23.2608555,121.2992634
23.2606588,121.2991542
23.2604621,121.2990325
23.2602419,121.2988949
23.2598117,121.2986132
23.2595726,121.2984912
23.2593841,121.2984278
23.25919,121.2983764
23.247384,121.2982824
23.2470735,121.2981885
23.246375,121.2977989
23.2462602,121.2977235
23.2457796,121.297408
23.2455554,121.2972377
23.2447766,121.2966463
23.2439511,121.2959853
23.2434932,121.2955894
23.2420508,121.29442
23.241675,121.294243
23.2414788,121.2941534
23.2405101,121.2937334
23.240064,121.2934759
23.2393623,121.2928227
23.2389566,121.2924269
23.238622,121.2921005
23.2381952,121.2916899
23.2378613,121.2914109
23.2374768,121.2911239
23.2374176,121.2910742
23.2371754,121.2909445
23.2367349,121.2906787
23.2357491,121.2901986
23.2352042,121.2899667
23.2351266,121.2899235
23.162357,121.2421801
23.1626042,121.2422027
23.1629151,121.2421689
23.1630493,121.2421516
23.1633003,121.2421193
23.1635413,121.2421148
23.1639558,121.2421396
23.1646788,121.2422049
23.1650212,121.2422117
23.1651492,121.2422006
23.1652555,121.2421914
23.1657173,121.2421554
23.165893,121.2421454
23.1660124,121.2421387
23.1662888,121.2421096
23.1664179,121.2420964
23.1671774,121.242012
23.1849465,121.2542987
23.1850549,121.2542743
23.1852574,121.2559834
23.1852717,121.2556728
23.1852175,121.255173
23.1851945,121.2550303
23.185142,121.2547188
23.1660067,121.242028
23.1658878,121.2420383
23.1653794,121.2420855
23.1651206,121.2421003
23.165064,121.2421036
23.1647352,121.2420938
23.164044,121.2420475
23.1635638,121.2420044
23.1635237,121.2420061
23.1631155,121.2420232
23.1630426,121.2420339
23.1714849,121.2472087
23.1714167,121.2476968
23.1713654,121.2480047
23.1713118,121.2483819
23.1712675,121.2486878
23.1712606,121.2487298
23.1712276,121.2489305
23.1712209,121.2489711
23.171236,121.2491293
23.1713221,121.2492777
23.1715581,121.2496226
23.1717045,121.2497059
23.1718372,121.2497646
23.1722474,121.2499897
23.172342,121.2501114
23.1724057,121.2502116
23.1726016,121.2505405
23.1726619,121.2506858
23.1727225,121.2508695
23.1727652,121.251068
23.1728241,121.2513414
23.1728858,121.2516686
23.1729367,121.2520328
23.1729209,121.2522175
23.1728826,121.2523031
23.1728088,121.2524115
23.1721991,121.2529965
23.9314763,121.594582
23.9317178,121.594645
23.9319347,121.5946906
23.9321015,121.5947081
23.9322841,121.5947121
23.9326322,121.594696
23.9338936,121.5946102
23.9360326,121.5944881
23.9365119,121.5944528
23.8768179,121.6001667
23.8771227,121.6003223
23.8774303,121.6004154
23.8775859,121.6004402
23.8778805,121.6004872
23.8780685,121.6005163
23.8790688,121.600671
23.927127,121.591688
23.9270271,121.5917884
23.9645341,121.5904006
23.9641115,121.5900499
23.6662175,121.4216626
23.6662003,121.4217297
23.6659847,121.4227116
23.665747,121.4236394
23.6655014,121.4244226
23.6654528,121.424565
23.6651832,121.4255009
23.6649376,121.4263096
23.6642583,121.4285807
23.6637995,121.4301091
23.6637188,121.4303778
23.6636723,121.4305275
23.6635608,121.430886
23.6632876,121.4318222
23.6631819,121.4321304
23.820265,121.581859
23.8199092,121.5817248
23.8196491,121.5816189
23.8191461,121.5814083
23.8188835,121.581289
23.818048,121.5807136
23.8177505,121.5805425
23.8174095,121.5802895
23.8172149,121.5800892
23.8170324,121.5797847
23.799789,121.5678088
23.8003648,121.5676689
23.8006397,121.5676796
23.8033612,121.5695491
23.8059528,121.5713856
23.806243,121.5715947
23.8064867,121.5717386
23.8066772,121.5718506
23.8068713,121.5719517
23.8114052,121.5733484
23.8115551,121.5734196
23.8149932,121.5758338
23.9100386,121.6035369
23.9095261,121.6035692
23.9089695,121.6035731
23.9086757,121.603572
23.9081603,121.6035785
23.9080431,121.6035817
23.9069091,121.6036006
23.9065265,121.6035987
23.9060282,121.6036053
23.9055206,121.6036146
23.9045876,121.6036267
23.9043069,121.6036362
23.903689,121.6036549
23.9030016,121.6036776
23.9027519,121.6036942
23.9026425,121.6036968
23.9025322,121.6037032
23.9020461,121.6037388
23.9013238,121.6037891
23.9008728,121.6038137
23.900415,121.603843
23.9002964,121.6038455
23.8993044,121.6039272
23.8992122,121.6039267
23.8989268,121.6039427
23.8983493,121.6039634
23.8975241,121.6039969
23.897182,121.6039875
23.8967553,121.6039728
23.896535,121.6039591
23.8963458,121.6039473
23.896091,121.6039419
23.895962,121.6039392
23.8951431,121.6039567
23.8946784,121.6039272
23.8944825,121.6039087
23.8942517,121.6038869
23.8937429,121.6038051
23.8930783,121.6037086
23.8925066,121.6036045
23.892231,121.6035771
23.8915124,121.6034658
23.890816,121.6033035
23.8899343,121.6030823
23.8894046,121.6029321
23.8887167,121.6027537
23.887683,121.6024949
23.8864788,121.6022226
23.8857925,121.6020322
23.8850151,121.6018109
23.8841273,121.6015561
23.883687,121.6014099
23.8832738,121.6012731
23.8829783,121.6011873
23.8824767,121.6010854
23.8818378,121.6010049
23.8808065,121.6008574
23.8804509,121.6008025
23.8804013,121.6007949
23.87998,121.60073
23.8797347,121.6006911
23.6451675,121.4874237
23.6450852,121.4875672
23.6450404,121.4876806
23.645041,121.4877382
23.6450717,121.4878247
23.6451552,121.487932
23.6452247,121.4880473
23.6452855,121.4881693
23.6453567,121.4883356
23.6454286,121.4884718
23.6454839,121.4885495
23.6455539,121.4886132
23.6459047,121.4888064
23.6459673,121.4888473
23.6460158,121.4889116
23.6460515,121.4889861
23.6460907,121.4891436
23.6461147,121.4893864
23.6461387,121.4895882
23.6461699,121.4898384
23.6461835,121.4900919
23.646181,121.4903024
23.6461976,121.4904372
23.6462289,121.4905431
23.6463101,121.4907316
23.6463684,121.4908743
23.6464514,121.4910534
23.6465428,121.4911989
23.6466632,121.4913726
23.6467247,121.4914624
23.6467769,121.4915885
23.6467873,121.491685
23.6467849,121.4917763
23.646764,121.4918969
23.6467228,121.4919941
23.646678,121.4920639
23.6465926,121.4921591
23.6465361,121.4922088
23.6464575,121.4922523
23.6463893,121.4922731
