latitude,longitude
22.5969193,120.3424731
22.595056,120.3439454
22.5934873,120.3451883
22.5928341,120.3457906
22.5924349,120.3462335
22.5921695,120.3466281
22.5919458,120.3470321
22.5917222,120.3475365
22.591528,120.3482207
22.5912943,120.3496919
22.5910534,120.3518296
22.5908472,120.3536666
22.5907753,120.3542813
22.5903877,120.3575299
22.5902573,120.3588495
22.5901056,120.3607066
22.5899908,120.3634459
22.589981,120.3640627
22.589934,120.3668819
22.5899132,120.3675277
22.5898441,120.3681052
22.589729,120.3688271
22.5895606,120.3695141
22.5894015,120.3703075
22.5892903,120.3710772
22.5892266,120.3720569
22.5891433,120.3774818
22.589313,120.3880019
22.5892774,120.3898351
22.5891823,120.3909732
22.5889462,120.3922992
22.5877343,120.3977345
22.5874036,120.3993171
22.5870266,120.4009221
22.5868211,120.4019128
22.5867125,120.4024502
22.5866434,120.4029043
22.5865758,120.4034962
22.5865198,120.4042486
22.5864337,120.4104193
22.5864263,120.4117692
22.5864252,120.4119441
22.5864072,120.4148556
22.5864232,120.4152729
22.5864665,120.4157697
22.5866274,120.4166455
22.58683,120.417239
22.587076,120.4177508
22.5874124,120.4182801
22.5878767,120.4188508
22.5884208,120.4194134
22.5898228,120.4207593
22.5906651,120.4215875
22.591002,120.4219755
22.5913154,120.4223987
22.591538,120.4228025
22.5917485,120.4233248
22.591922,120.423895
22.5919793,120.4243146
22.5920266,120.4249741
22.5920405,120.4264271
22.5920513,120.4283808
22.5920573,120.4287404
22.5920973,120.4298044
22.59218,120.4309031
22.5922623,120.4318022
22.5925078,120.433581
22.5926343,120.4350592
22.5928543,120.4369937
22.7669229,120.3058004
22.7663539,120.3061039
22.7648393,120.3069457
22.7645024,120.30712
22.7640875,120.3073437
22.7636563,120.3075763
22.6702503,120.3034481
22.6703563,120.3035609
22.7079436,120.3023671
22.7079426,120.3022695
22.7160072,120.2881018
22.7160529,120.2880687
22.7160715,120.2880541
22.7164345,120.2877682
22.7167241,120.2875277
22.7169992,120.2872028
22.7171167,120.2870298
22.7173801,120.2865971
22.7208971,120.2808579
22.7209293,120.2808153
22.7209779,120.2807274
22.7210798,120.2805591
22.7211512,120.2804467
22.7213284,120.2801348
22.7218286,120.2793431
22.721897,120.2792324
22.7220269,120.2790167
22.6231865,120.3010539
22.6231393,120.3009136
22.7392192,120.2490861
22.7393941,120.2493404
22.7397063,120.2498166
22.7403029,120.2507666
22.7404758,120.2510221
22.7406482,120.251279
22.7410114,120.2518203
22.7419734,120.2533032
22.7420834,120.2534794
22.7421913,120.2536512
22.7424455,120.2540302
22.7424823,120.2540851
22.7433743,120.2554251
22.7435606,120.2557141
22.744056,120.2564989
22.7445758,120.2572824
22.744919,120.2578622
22.727279,120.3215252
22.7260225,120.3218931
22.7258395,120.3219585
22.7256652,120.3220306
22.7253659,120.3221936
