latitude,longitude
24.9421954,121.3245317
24.9427718,121.3242649
24.9431551,121.3241286
24.9676251,121.3308375
24.967582,121.3307867
24.9671279,121.3302473
24.9667405,121.3297646
24.9664925,121.3294378
24.9664015,121.3293043
24.9662861,121.3291123
24.9660355,121.3286683
24.9546273,121.3326326
24.9543915,121.3333029
24.9543202,121.3334881
24.9542368,121.3336489
24.9541411,121.3338178
24.9540115,121.3340138
24.9539539,121.3340905
24.9538684,121.3341577
24.9536507,121.3342859
24.9531764,121.3345545
24.9529139,121.334695
24.9527775,121.3347906
24.9523601,121.3351968
24.9521242,121.3353706
24.9519329,121.3354765
24.9516149,121.3356108
24.9509723,121.3359385
24.9505345,121.3361851
24.9501445,121.3364558
24.9497549,121.3367262
24.9493508,121.3371213
24.9489734,121.337513
24.9487885,121.3377749
24.9486648,121.3379502
24.948485,121.3383357
24.9484429,121.3384259
24.9482587,121.3388905
24.94812,121.3393356
24.9480418,121.3397083
24.9480242,121.3399142
24.9479863,121.3404594
24.9479894,121.3410383
24.947945,121.341279
25.1274776,121.4605857
25.127926,121.4603569
25.1263678,121.4611197
25.1262406,121.4612208
25.1260875,121.4613523
25.1255217,121.4618673
25.1252667,121.4620979
25.1224194,121.3317761
25.1222633,121.3308255
25.1221103,121.3298841
25.1219743,121.3291277
25.1218603,121.3283469
25.1217641,121.3276448
25.121738,121.3274544
25.1216547,121.3265867
25.1216027,121.3255902
25.1215952,121.3254461
25.1215357,121.3243352
25.1214432,121.3217254
25.1213579,121.3201943
25.1213575,121.3201392
25.1213582,121.3192746
25.1213665,121.3188192
25.1213852,121.3186904
25.1214517,121.3175703
25.1421901,121.38986
25.1423376,121.3889128
25.1423946,121.388371
25.1424039,121.3879984
25.1423459,121.3874128
25.1422387,121.3868412
25.1420453,121.3862246
25.1415711,121.3850642
25.1414979,121.384885
25.1408363,121.3832658
25.1404173,121.3816545
25.2517091,121.501594
25.252231,121.5020782
25.2525205,121.5023431
25.2532933,121.5028304
25.2541317,121.5030518
25.2542182,121.5031575
25.2591832,121.5024257
25.2590915,121.5025517
25.2586633,121.5029232
25.2582109,121.5032719
25.2581664,121.5033048
25.2576068,121.5037145
25.2515468,121.5014616
25.251507,121.5014344
25.0043589,121.5125522
25.0041924,121.512388
25.0040994,121.5123114
25.0038487,121.5121067
25.0038155,121.5120772
25.0036938,121.5119767
25.0036258,121.5119204
25.003553,121.5118614
24.9936271,121.5040762
24.9936539,121.5037842
24.9936747,121.5034372
24.9659901,121.3287632
25.0118641,121.5970223
25.0091898,121.596392
25.0093886,121.5968192
25.0118509,121.5973579
25.0130724,121.5976425
25.0141947,121.5978834
25.0125444,121.644246
25.0129578,121.6439938
25.0134209,121.6437739
25.014201,121.6434078
25.015204,121.6430283
25.0182514,121.6421727
25.0205255,121.641376
25.0217056,121.6409683
25.0224336,121.6406641
25.0226712,121.6405606
24.872988,121.7760926
24.8776855,121.7711681
24.8803976,121.7687488
24.8838719,121.7661417
24.8891837,121.7624724
24.8924893,121.7601979
24.8951575,121.7582935
24.8961829,121.7574513
24.8979881,121.7558956
24.8999211,121.754061
24.9015636,121.7522746
24.9033701,121.7500967
24.9056989,121.7471107
24.9088812,121.7429566
24.9105415,121.7407519
24.9132763,121.7372059
24.9157135,121.7341214
24.9171017,121.7324853
24.918661,121.7309027
