latitude,longitude
25.000786,121.3141254
25.0009215,121.3141382
24.9923878,121.3060231
24.9925252,121.3060506
24.9819451,121.3076763
24.9831362,121.3075289
24.9838041,121.3074659
24.9844107,121.3074117
24.9850507,121.3073545
24.9748139,121.3024156
24.9752055,121.3024055
24.9752808,121.3024135
24.9753903,121.302431
24.9757088,121.3024994
24.9759872,121.3025503
24.9760625,121.3025772
24.9761549,121.3026144
24.9764698,121.3027906
24.9765698,121.3028414
24.9766109,121.3028664
24.9772173,121.3032125
24.9778271,121.3035835
24.9779849,121.3036447
24.9781345,121.3037291
24.9782196,121.3037771
24.9641691,121.3004063
24.9645172,121.3004866
24.9646434,121.3005131
24.9649693,121.3005762
24.965103,121.3006084
24.9656014,121.3007022
24.9660229,121.3007948
24.9668096,121.3009624
24.9671846,121.3010402
24.9675597,121.301118
24.9679828,121.3011984
24.9682836,121.3012447
24.9689238,121.3013849
24.969531,121.3015163
24.969618,121.3015351
24.9697787,121.3015605
24.9698466,121.3015713
24.9699791,121.3015833
24.9701602,121.3015941
24.9705985,121.3016054
24.9708004,121.3016165
24.9709031,121.3016222
24.9710915,121.3016464
24.9712264,121.3016759
24.9715032,121.3017573
24.9718058,121.3018559
24.9719984,121.3019186
24.9725127,121.3020782
24.9727886,121.302163
24.97296,121.3022213
24.9730014,121.3022365
24.9734561,121.302388
24.9735959,121.3024215
24.9737333,121.3024376
24.9740372,121.3024336
24.9742487,121.3024209
24.9743813,121.3024175
24.8918058,121.2789161
24.8920073,121.2787687
24.8921765,121.2786522
24.8925231,121.2785525
24.8926232,121.2785415
24.8927194,121.2785538
24.8929128,121.2785672
24.8932255,121.2786409
24.893369,121.2787114
24.893498,121.2787898
24.8937243,121.278991
24.8940483,121.2793266
24.8942522,121.279628
24.8945649,121.2803026
24.8949249,121.2810375
24.8949882,121.2812534
24.8950235,121.2816236
24.8950928,121.2823209
24.8952157,121.2827058
24.8952948,121.2829995
24.8953191,121.2831927
24.8953495,121.2836795
24.8953763,121.2839611
24.8954103,121.2841274
24.8955393,121.2843232
24.8958215,121.2846732
24.8960271,121.2848409
24.8962278,121.2849535
24.8965392,121.2851008
24.8969416,121.2852549
24.8971484,121.2852733
24.8973496,121.2852487
24.8975313,121.2851778
24.8976164,121.285132
24.8978834,121.284973
24.8984624,121.2846571
24.8985597,121.2845339
24.9962881,121.3158507
24.9962206,121.3158739
24.995954,121.3159656
25.0293874,121.3045537
25.0284203,121.3049449
25.0282351,121.3050205
25.0281965,121.3050359
25.0277104,121.3052292
25.0273214,121.3053868
25.0272428,121.3054187
25.0266447,121.3056695
25.0264654,121.3057447
25.0261721,121.3058561
25.0256817,121.3060657
25.0256349,121.3060857
25.0255884,121.3061056
25.0255444,121.3061237
25.0244035,121.3065926
25.0241184,121.3067069
25.0237472,121.3068557
24.9436776,121.3240376
24.9438929,121.324038
24.9451695,121.3241337
24.9459875,121.3242044
24.9463005,121.3242388
25.0304468,121.3042138
25.0305104,121.3041876
25.0313782,121.3038312
25.0315722,121.3037299
25.0319235,121.3035761
25.0320717,121.3035113
25.0323967,121.3031332
25.0322218,121.3032983
25.0320015,121.3034498
25.0313592,121.3037427
25.0305526,121.3040752
25.0305007,121.3040993
25.0304372,121.3041202
24.99185,121.3010034
24.9917871,121.301011
24.991736,121.3010349
24.9916919,121.3010885
24.9916346,121.3011937
24.9916108,121.3012374
24.9915281,121.3013956
25.0369294,121.2981363
25.0368038,121.2982557
25.037741,121.2975264
25.03733,121.2978267
25.0411393,121.2955585
25.0410662,121.2956383
25.0407462,121.2958414
25.0405053,121.2959438
25.0394105,121.2964768
25.0377843,121.2976578
25.0380311,121.2974921
25.0384384,121.297217
25.0386673,121.2970716
25.0412106,121.29572
25.0412799,121.295658
25.041364,121.2956056
25.0419511,121.2952448
25.0422574,121.2950735
25.0431178,121.2945922
25.0438529,121.2941776
25.0438987,121.2941517
25.0441899,121.2940001
25.0447287,121.2937032
25.0504396,121.2902581
25.0502987,121.2903922
25.0498623,121.2906478
25.049628,121.2907784
25.0488918,121.2911942
25.0505295,121.290352
25.0506094,121.290271
25.0512971,121.2889789
25.0515522,121.2884994
25.1074918,121.2438387
25.1071196,121.2442678
25.1063721,121.2450447
25.0369268,121.2982964
25.0375788,121.297791
25.0146537,121.2767449
25.0149581,121.2764956
25.0161005,121.2756046
25.016947,121.2749642
25.0184623,121.2738658
24.9085724,121.2879755
24.9089803,121.2888276
24.9092898,121.2894135
24.9100769,121.2905911
24.9108297,121.2915081
24.9116561,121.2923243
24.9120701,121.29267
24.9125352,121.2930178
24.9131173,121.2934281
24.9137504,121.293803
24.914542,121.2942469
24.9159776,121.2949219
24.9172411,121.2955897
24.9185638,121.2964208
24.9194346,121.2970715
24.879636,121.2501017
24.8792532,121.2500778
24.9931164,121.3086944
24.9938643,121.3099863
24.9938846,121.3100214
24.9939477,121.3101066
24.9942912,121.3105703
24.9945314,121.3109634
24.991003,121.2949389
24.9909702,121.2951106
24.9909362,121.2953828
24.9909289,121.2954485
24.9909034,121.2957395
24.9908985,121.2958374
24.9908997,121.2959568
24.9909252,121.2961854
24.9911112,121.2968345
24.9913287,121.2975426
24.9913665,121.2976821
24.9910681,121.2947991
24.9910903,121.2946383
24.9911492,121.2941906
24.9911872,121.2938724
24.9912188,121.2936578
24.991264,121.2930898
24.9912717,121.2928495
24.9912796,121.2927016
24.9912747,121.2925997
24.9912188,121.2923167
24.9911258,121.2919375
24.9910662,121.2916854
24.9909228,121.2910296
24.990863,121.290733
24.9908085,121.2905025
24.9907016,121.2901713
24.9906651,121.2900948
24.9901692,121.2890501
24.9899394,121.2885993
24.9867585,121.2822258
24.9868824,121.2824536
24.9661749,121.3289221
24.9342432,121.2603307
24.9342162,121.2603869
24.9342004,121.2604198
24.9747302,121.2644522
24.9749074,121.2648938
24.9754188,121.2661667
24.9757151,121.2668661
24.9760647,121.2675356
24.9765189,121.2683257
24.9868669,121.2821564
24.9867666,121.2819516
24.9866736,121.2817636
24.9865401,121.2815761
24.9863144,121.2813037
24.986121,121.2810873
24.9860069,121.2809596
24.9232256,121.2954849
24.9231191,121.2953772
24.9228343,121.2951932
24.9225323,121.2949646
24.9220672,121.2945538
24.921551,121.2940978
24.9206807,121.2933098
24.9205469,121.2931877
24.9202346,121.2929028
24.9196654,121.2923854
24.9196278,121.2923513
24.9194906,121.2922297
24.9192235,121.2919869
24.918806,121.2916733
24.9179419,121.2911464
24.9178694,121.2911076
24.9161692,121.2901962
24.9157813,121.2900702
24.9155853,121.2900204
24.9153569,121.2899623
24.9146874,121.2899019
24.9145398,121.2898886
24.9140867,121.2898478
24.9136126,121.2897496
24.9131357,121.2895484
24.9126322,121.2892671
24.9121091,121.2889748
24.9112673,121.2885045
24.9111268,121.2884241
24.9109329,121.2883177
24.9105649,121.2881121
24.9104256,121.2880343
24.9094266,121.2875043
24.908439,121.2869438
24.9078787,121.2865561
24.8920036,121.2783713
24.8919814,121.2784088
24.8919426,121.2784812
24.8917458,121.2788562
24.8846902,121.2892331
24.885149,121.289041
24.8853207,121.2889338
24.885626,121.2887098
24.8857098,121.2886367
24.8860229,121.2883584
24.8861531,121.2882055
24.8868005,121.2873309
24.8870121,121.2871458
24.8871529,121.2870084
24.887267,121.2868852
24.887339,121.2867971
24.8873955,121.2867228
24.8874201,121.2866704
24.8875629,121.2863667
24.8984162,121.2845955
24.8976039,121.2850577
24.8974055,121.285147
24.8972183,121.285184
24.8970031,121.2851717
24.8966789,121.2850669
24.8964218,121.2849529
24.896257,121.2848932
24.8960551,121.2847792
24.8958702,121.284629
24.895594,121.2842843
24.8954651,121.2840818
24.8954444,121.2839423
24.8954018,121.2832557
24.8953592,121.2829781
24.8952789,121.2826857
24.8951573,121.2822861
24.8950928,121.2816008
24.895049,121.2812306
24.8949785,121.2810013
24.894633,121.2802664
24.8942984,121.2795891
24.8941014,121.2792887
24.893762,121.2789481
24.8935248,121.2787442
24.8933922,121.2786651
24.8932523,121.2785913
24.8928958,121.2784961
24.9011977,121.2837967
24.9009063,121.2838062
24.9005572,121.2838236
24.9005279,121.2838285
24.900141,121.2838922
24.8999942,121.2839141
24.8772526,121.2756085
24.8773486,121.2755794
24.8775366,121.2755626
24.8776716,121.2755653
24.8777787,121.275574
24.8780068,121.2756237
24.8781887,121.2756766
24.8783943,121.2757906
24.8785792,121.275918
24.8787155,121.2760481
24.8788332,121.2761477
24.8790336,121.2763596
24.8795485,121.2769818
24.8796979,121.2771358
24.8798737,121.2773068
24.8800629,121.2774737
24.8803148,121.2776514
24.8805739,121.2777895
24.880917,121.2779478
24.8812272,121.27809
24.881456,121.2782308
24.881664,121.2783635
24.8820173,121.2786356
24.8821797,121.2787845
24.8824471,121.279041
24.8828355,121.2795134
24.8829821,121.2796787
24.8832376,121.2798986
24.8834322,121.2800072
24.8837157,121.2801498
24.8840393,121.2802463
24.8843076,121.2803073
24.8845667,121.2803328
24.8849055,121.2803402
24.885178,121.2803241
24.8854122,121.2802711
24.8855786,121.2802113
24.8857687,121.2800807
24.8858867,121.279964
24.8859585,121.2798728
24.8861191,121.279673
24.8863649,121.279439
24.8865328,121.2793209
24.8866897,121.2792378
24.8868491,121.2792029
24.8870158,121.2791855
24.8872883,121.2791815
24.8876642,121.2791935
24.8880061,121.2791989
24.8883406,121.2791694
24.8885863,121.2791077
24.8887159,121.2790636
24.8888187,121.2790286
24.889118,121.2788797
24.8897603,121.2785096
24.8900255,121.2783688
24.8901581,121.2783218
24.890388,121.2782548
24.8906265,121.278232
24.8907311,121.2782239
24.8909112,121.278236
24.8910571,121.2782802
24.8911922,121.27835
24.8913884,121.2784912
24.8915931,121.2782866
24.9260125,121.2965522
24.926209,121.2965799
24.9264886,121.2966193
24.9268505,121.2966703
24.9270292,121.2966955
24.9271892,121.2967192
24.9288094,121.2969596
24.9300863,121.297142
24.9303581,121.2971755
24.9309045,121.2972506
24.9309762,121.2972593
24.9313028,121.2973278
24.9236154,121.295681
24.9240542,121.2958679
24.9245301,121.2960695
24.8693844,121.2206686
24.86942,121.2207506
24.9061514,121.2771616
24.9058708,121.276605
24.9055673,121.2759772
24.9053809,121.2756204
24.9050966,121.2751306
24.9044286,121.2741017
24.9040706,121.2735219
24.9036225,121.2729687
24.9023816,121.2714558
24.901556,121.2705823
24.9005557,121.2696075
24.8999158,121.2690363
24.9087305,121.2878906
24.9086008,121.2876027
24.9083723,121.2870336
24.9082564,121.2865847
24.9081736,121.2861691
24.9079488,121.2849966
24.9076735,121.2833495
24.9075722,121.2828449
24.9058907,121.2770182
24.9063196,121.2779043
24.9065917,121.2787258
24.9068086,121.2794907
24.9069146,121.2801281
24.8694963,121.2206979
24.869954,121.2203813
24.8701579,121.2202402
24.8703694,121.2200475
24.8705046,121.2198727
24.8706526,121.2196194
24.8708094,121.2190913
24.8709617,121.2183421
24.8712052,121.2171977
24.8712243,121.2170073
24.8712264,121.2168367
24.871205,121.2166339
24.871167,121.2164675
24.8711192,121.2163179
24.8710485,121.2161671
24.8705962,121.2154596
24.8705254,121.2153477
24.8700307,121.2145663
24.8697517,121.2141297
24.8696569,121.2139744
24.9273149,121.1733693
24.926235,121.1721822
24.9255393,121.1714883
24.9244453,121.1705862
24.9227303,121.1693817
24.9217273,121.1688609
24.9208771,121.1685122
24.9200403,121.1682239
24.9124,121.1655345
24.9093862,121.1645219
25.0008376,121.3143428
25.0008821,121.3145304
25.0010243,121.3150374
25.0010978,121.3153939
25.001118,121.3155161
24.9961435,121.3231347
24.9960805,121.3231946
24.9961747,121.3232687
24.9963474,121.3230604
24.9969953,121.3222789
24.9974508,121.3217295
24.9976854,121.3214733
24.9979601,121.3212091
25.0013149,121.3171002
25.0013161,121.3169108
25.0013184,121.3165246
25.0012892,121.3159158
25.0012503,121.3156049
25.0012313,121.3154972
25.0012114,121.3153686
25.0011385,121.3150132
25.0009627,121.3143041
25.0012217,121.3170693
25.0012137,121.3171924
25.0011968,121.3174487
25.0011142,121.3179395
25.0010328,121.3183539
25.0009307,121.318708
25.0008492,121.3189346
25.0007374,121.3191814
25.0005904,121.3194308
25.0004469,121.3196078
25.0003011,121.3197567
25.0001601,121.3198895
25.0000069,121.3199994
24.9998295,121.3201027
24.9989556,121.3205466
24.9981886,121.3209503
24.9979212,121.3211032
25.0008911,121.3140064
24.9931826,121.3086474
24.9934,121.3084929
24.9939602,121.3081798
24.9940014,121.3081545
24.9946929,121.3077288
24.9948879,121.3075987
24.9951549,121.3074386
24.9955755,121.307161
24.9958125,121.3070135
24.9958587,121.306984
24.9960181,121.3068834
24.9964207,121.3066351
24.9964631,121.306609
24.9967714,121.3064193
24.996875,121.306355
24.9970208,121.3063014
24.9635679,121.2311055
24.9635197,121.2308425
24.9633087,121.2299927
24.9632741,121.2298597
24.9633676,121.2298108
24.9634554,121.2297534
24.9638195,121.2294822
24.9644991,121.2290262
24.9661324,121.2234071
24.9662176,121.2227873
24.9663144,121.2220825
