city,town,city_english
臺北市,大同區,Taipei
桃園市,桃園區,Taoyuan
桃園市,八德區,Taoyuan
桃園市,大溪區,Taoyuan
新北市,鶯歌區,NewTaipei
臺北市,內湖區,Taipei
桃園市,龜山區,Taoyuan
桃園市,蘆竹區,Taoyuan
桃園市,大園區,Taoyuan
新竹縣,新埔鎮,Hsinchu_County
新竹縣,關西鎮,Hsinchu_County
新竹縣,橫山鄉,Hsinchu_County
桃園市,龍潭區,Taoyuan
桃園市,中壢區,Taoyuan
臺北市,中正區,Taipei
新竹縣,芎林鄉,Hsinchu_County
花蓮縣,富里鄉,Hualien
臺東縣,長濱鄉,Taitung
臺東縣,太麻里鄉,Taitung
屏東縣,恆春鎮,Pingtung
屏東縣,林邊鄉,Pingtung
花蓮縣,玉里鎮,Hualien
高雄市,鳳山區,Kaohsiung
高雄市,大寮區,Kaohsiung
新竹縣,竹東鎮,Hsinchu_County
新竹市,東區,Hsinchu_City
新竹市,北區,Hsinchu_City
臺北市,大安區,Taipei
屏東縣,枋山鄉,Pingtung
桃園市,楊梅區,Taoyuan
臺中市,清水區,Taichung
雲林縣,古坑鄉,Yunlin
嘉義縣,東石鄉,Chiayi_County
嘉義縣,中埔鄉,Chiayi_County
高雄市,橋頭區,Kaohsiung
桃園市,平鎮區,Taoyuan
桃園市,觀音區,Taoyuan
臺北市,北投區,Taipei
新北市,淡水區,NewTaipei
新北市,林口區,NewTaipei
新北市,八里區,NewTaipei
新北市,三芝區,NewTaipei
新北市,永和區,NewTaipei
新北市,中和區,NewTaipei
臺北市,南港區,Taipei
臺北市,文山區,Taipei
新北市,深坑區,NewTaipei
宜蘭縣,冬山鄉,Yilan
宜蘭縣,羅東鎮,Yilan
新北市,石碇區,NewTaipei
宜蘭縣,頭城鎮,Yilan
新北市,坪林區,NewTaipei
宜蘭縣,蘇澳鎮,Yilan
花蓮縣,吉安鄉,Hualien
臺東縣,臺東市,Taitung
臺東縣,卑南鄉,Taitung
宜蘭縣,礁溪鄉,Yilan
花蓮縣,壽豐鄉,Hualien
臺北市,中山區,Taipei
新北市,汐止區,NewTaipei
臺北市,信義區,Taipei
高雄市,左營區,Kaohsiung
臺中市,大甲區,Taichung
臺中市,梧棲區,Taichung
高雄市,楠梓區,Kaohsiung
澎湖縣,馬公市,Penghu
臺南市,安定區,Tainan
臺南市,永康區,Tainan
臺南市,新市區,Tainan
高雄市,新興區,Kaohsiung
高雄市,前金區,Kaohsiung
高雄市,梓官區,Kaohsiung
高雄市,三民區,Kaohsiung
高雄市,苓雅區,Kaohsiung
彰化縣,溪湖鎮,Changhua
彰化縣,永靖鄉,Changhua
彰化縣,田尾鄉,Changhua
高雄市,岡山區,Kaohsiung
臺北市,士林區,Taipei
新北市,三重區,NewTaipei
臺中市,外埔區,Taichung
苗栗縣,苑裡鎮,Miaoli
苗栗縣,銅鑼鄉,Miaoli
臺中市,后里區,Taichung
苗栗縣,三義鄉,Miaoli
嘉義縣,大林鎮,Chiayi_County
臺中市,沙鹿區,Taichung
臺中市,神岡區,Taichung
臺中市,龍井區,Taichung
臺中市,大肚區,Taichung
彰化縣,和美鎮,Changhua
彰化縣,彰化市,Changhua
臺中市,烏日區,Taichung
臺中市,南區,Taichung
嘉義市,西區,Chiayi_City
彰化縣,埤頭鄉,Changhua
彰化縣,竹塘鄉,Changhua
雲林縣,二崙鄉,Yunlin
嘉義縣,六腳鄉,Chiayi_County
雲林縣,北港鎮,Yunlin
雲林縣,元長鄉,Yunlin
臺南市,南區,Tainan
高雄市,永安區,Kaohsiung
高雄市,茄萣區,Kaohsiung
臺南市,中西區,Tainan
高雄市,美濃區,Kaohsiung
高雄市,旗山區,Kaohsiung
屏東縣,里港鄉,Pingtung
臺南市,六甲區,Tainan
臺南市,官田區,Tainan
高雄市,仁武區,Kaohsiung
新北市,新店區,NewTaipei
新北市,板橋區,NewTaipei
臺北市,萬華區,Taipei
新北市,新莊區,NewTaipei
高雄市,大社區,Kaohsiung
臺中市,大安區,Taichung
高雄市,大樹區,Kaohsiung
高雄市,鼓山區,Kaohsiung
新北市,三峽區,NewTaipei
苗栗縣,通霄鎮,Miaoli
高雄市,前鎮區,Kaohsiung
高雄市,彌陀區,Kaohsiung
苗栗縣,造橋鄉,Miaoli
苗栗縣,後龍鎮,Miaoli
苗栗縣,頭屋鄉,Miaoli
高雄市,燕巢區,Kaohsiung
高雄市,路竹區,Kaohsiung
高雄市,湖內區,Kaohsiung
高雄市,阿蓮區,Kaohsiung
臺南市,仁德區,Tainan
臺中市,南屯區,Taichung
雲林縣,虎尾鎮,Yunlin
屏東縣,竹田鄉,Pingtung
苗栗縣,頭份市,Miaoli
宜蘭縣,三星鄉,Yilan
宜蘭縣,五結鄉,Yilan
宜蘭縣,宜蘭市,Yilan
新北市,土城區,NewTaipei
新竹縣,新豐鄉,Hsinchu_County
桃園市,新屋區,Taoyuan
新北市,金山區,NewTaipei
臺南市,柳營區,Tainan
臺南市,後壁區,Tainan
嘉義縣,水上鄉,Chiayi_County
嘉義市,東區,Chiayi_City
嘉義縣,太保市,Chiayi_County
嘉義縣,新港鄉,Chiayi_County
臺南市,新營區,Tainan
臺南市,善化區,Tainan
臺南市,麻豆區,Tainan
新竹縣,寶山鄉,Hsinchu_County
新北市,樹林區,NewTaipei
臺中市,潭子區,Taichung
臺中市,大雅區,Taichung
臺中市,石岡區,Taichung
臺東縣,成功鎮,Taitung
桃園市,復興區,Taoyuan
新竹縣,竹北市,Hsinchu_County
屏東縣,東港鎮,Pingtung
臺南市,東區,Tainan
臺中市,北屯區,Taichung
臺中市,北區,Taichung
臺南市,將軍區,Tainan
臺南市,學甲區,Tainan
臺南市,七股區,Tainan
臺南市,安南區,Tainan
臺南市,新化區,Tainan
臺南市,白河區,Tainan
屏東縣,潮州鎮,Pingtung
屏東縣,屏東市,Pingtung
高雄市,田寮區,Kaohsiung
雲林縣,東勢鄉,Yunlin
雲林縣,褒忠鄉,Yunlin
雲林縣,斗南鎮,Yunlin
南投縣,草屯鎮,Nantou
臺中市,霧峰區,Taichung
南投縣,水里鄉,Nantou
高雄市,內門區,Kaohsiung
高雄市,杉林區,Kaohsiung
高雄市,甲仙區,Kaohsiung
臺南市,南化區,Tainan
臺南市,左鎮區,Tainan
新北市,雙溪區,NewTaipei
新北市,貢寮區,NewTaipei
基隆市,中正區,Keelung
屏東縣,九如鄉,Pingtung
新竹市,香山區,Hsinchu_City
新竹縣,湖口鄉,Hsinchu_County
雲林縣,西螺鎮,Yunlin
雲林縣,崙背鄉,Yunlin
雲林縣,斗六市,Yunlin
雲林縣,莿桐鄉,Yunlin
南投縣,名間鄉,Nantou
苗栗縣,竹南鎮,Miaoli
苗栗縣,苗栗市,Miaoli
屏東縣,枋寮鄉,Pingtung
高雄市,林園區,Kaohsiung
屏東縣,新園鄉,Pingtung
臺南市,關廟區,Tainan
臺南市,歸仁區,Tainan
新北市,五股區,NewTaipei
臺南市,大內區,Tainan
新北市,萬里區,NewTaipei
宜蘭縣,壯圍鄉,Yilan
花蓮縣,光復鄉,Hualien
花蓮縣,豐濱鄉,Hualien
花蓮縣,瑞穗鄉,Hualien
花蓮縣,新城鄉,Hualien
花蓮縣,花蓮市,Hualien
雲林縣,四湖鄉,Yunlin
雲林縣,土庫鎮,Yunlin
臺北市,松山區,Taipei
彰化縣,溪州鄉,Changhua
新北市,蘆洲區,NewTaipei
高雄市,鳥松區,Kaohsiung
屏東縣,萬丹鄉,Pingtung
屏東縣,麟洛鄉,Pingtung
花蓮縣,鳳林鎮,Hualien
彰化縣,埔鹽鄉,Changhua
彰化縣,鹿港鎮,Changhua
雲林縣,麥寮鄉,Yunlin
高雄市,六龜區,Kaohsiung
基隆市,七堵區,Keelung
基隆市,暖暖區,Keelung
基隆市,仁愛區,Keelung
嘉義縣,竹崎鄉,Chiayi_County
嘉義縣,阿里山鄉,Chiayi_County
南投縣,南投市,Nantou
彰化縣,員林市,Changhua
彰化縣,埔心鄉,Changhua
彰化縣,大村鄉,Changhua
彰化縣,秀水鄉,Changhua
彰化縣,福興鄉,Changhua
新北市,瑞芳區,NewTaipei
嘉義縣,民雄鄉,Chiayi_County
臺中市,中區,Taichung
屏東縣,佳冬鄉,Pingtung
南投縣,信義鄉,Nantou
屏東縣,車城鄉,Pingtung
屏東縣,滿州鄉,Pingtung
屏東縣,南州鄉,Pingtung
澎湖縣,白沙鄉,Penghu
澎湖縣,西嶼鄉,Penghu
澎湖縣,湖西鄉,Penghu
南投縣,埔里鎮,Nantou
南投縣,魚池鄉,Nantou
臺中市,西區,Taichung
南投縣,鹿谷鄉,Nantou
基隆市,安樂區,Keelung
雲林縣,林內鄉,Yunlin
臺南市,北區,Tainan
花蓮縣,秀林鄉,Hualien
宜蘭縣,南澳鄉,Yilan
苗栗縣,三灣鄉,Miaoli
苗栗縣,南庄鄉,Miaoli
屏東縣,新埤鄉,Pingtung
南投縣,國姓鄉,Nantou
臺中市,西屯區,Taichung
宜蘭縣,大同鄉,Yilan
屏東縣,崁頂鄉,Pingtung
屏東縣,獅子鄉,Pingtung
臺東縣,關山鎮,Taitung
新北市,泰山區,NewTaipei
新北市,烏來區,NewTaipei
新北市,石門區,NewTaipei
基隆市,信義區,Keelung
臺東縣,達仁鄉,Taitung
屏東縣,牡丹鄉,Pingtung
嘉義縣,番路鄉,Chiayi_County
彰化縣,花壇鄉,Changhua
嘉義縣,鹿草鄉,Chiayi_County
臺東縣,鹿野鄉,Taitung
臺東縣,池上鄉,Taitung
臺東縣,延平鄉,Taitung
雲林縣,臺西鄉,Yunlin
屏東縣,高樹鄉,Pingtung
高雄市,小港區,Kaohsiung
彰化縣,伸港鄉,Changhua
嘉義縣,布袋鎮,Chiayi_County
